¬ Text file converted with loc_parser
{your_citizens_killed}						Eure getöteten Bürger:
{wonder_captured_body_greek}				Unsere Armee hat eins der fabelhaften Weltwunder eingenommen. Eine solche Trophäe ist der Götter würdig!
{wonder_captured_body_egyptian}				Die Krieger des Pharaos haben ein Weltwunder zum größeren Ruhm des Pharaos eingenommen!
{wonder_captured_body_eastern}				Unsere Armee hat ein wahres Wunder erobert! Viele werden staunen, dass es so etwas gibt!
{wonder_lost_body_roman}					Der Verlust dieses Wunders ist eine Schande für alle wahren Römer. Die Götter müssen weinen, diese Erniedrigung zu sehen!
{wonder_lost_body_barbarian}					Wir haben dieses Wunder nicht mehr länger unter Kontrolle. Unsere Krieger sollten sich schämen, einen solchen Tag zu erleben!
{wonder_lost_body_carthaginian}				Die Schande, dieses Wunder zu verlieren, ist die einzige Bezahlung, die unsere Generäle und ihre Männer verdienen!
{wonder_lost_body_greek}					Unsere Armee konnte den Verlust eines derartigen Weltwunders nicht verhindern.
{wonder_lost_body_egyptian}					Der Ruhm des Pharaos wurde vom Verlust dieses großen Wunders befleckt. Nur er war würdig, es sein Eigen zu nennen, nun wurde es seiner Hand entrissen ...
{wonder_lost_body_eastern}					Unsere Armee hat die Kontrolle über ein Weltwunder verloren. Dies ist ein schändlicher Verlauf der Ereignisse, dass wir auf diese Art und Weise erniedrigt werden.
{faction_leader_dies_body_roman}				Unser Anführer ist tot; ein edler Römer ist zu seinen berühmten Vorfahren heimgekehrt. In seiner Größe stellt er ein Vorbild für alle zukünftigen Generationen dar.
{faction_leader_dies_body_barbarian}				Unser Anführer ist tot; er ist gegangen, um sich den anderen ruhmreichen Kriegern im nächsten Leben anzuschließen. Er wird mit den Liedern der Barden geehrt werden!
{faction_leader_dies_body_carthaginian}			Unser Anführer ist gestorben, nun ist er von seinen edlen Vorfahren umgeben. Seine Errungenschaften werden denen, die in seine Fußstapfen treten, eine Inspiration sein.
{faction_leader_dies_body_greek}				Unser Anführer ist tot, jetzt spaziert er mit Hades in der Unterwelt.
{faction_leader_dies_body_egyptian}				Unser Pharao ist gegangen, um sich Osiris anzuschließen - sicher ist das Aufwiegen seines Herzens mit der Feder der Wahrheit eine Formalität!
{faction_leader_dies_body_eastern}				Unser Herrscher ist gestorben, das Volk ist vereint im Gebet um seine würdige Seele!
{faction_leader_killed_body_roman}				Unser Anführer ist hinterrücks umgebracht worden! Jemand muss dafür bezahlen. Jemand muss die Schwere der römischen Rache erleiden!
{faction_leader_killed_body_barbarian}				Unser großer Anführer ist verräterisch gemeuchelt worden! Dafür muss Blut fließen! Aus Rache muss jemand mit seinem Blut bezahlen!
{faction_leader_killed_body_carthaginian}			Unser mächtiger Anführer liegt tot darnieder, vernichtet von seinen Gegnern! Die Größe unseres Volkes zählt wenig, wenn sie gegen ein solches Unglück aufgewogen wird!
{faction_leader_killed_body_greek}				Unser Anführer ist tot, vernichtet von unseren Gegnern, auf die Reise zu Hades geschickt. Sein Schatten schreit nach Rache!
{faction_leader_killed_body_egyptian}				Der Pharao ist vernichtet worden und tritt nun vor Anubis, um gerichtet zu werden, bevor er - wie wir inständig hoffen - sich Osiris in Ewigkeit anschließt.
{faction_leader_killed_body_eastern}				Unser Anführer ist grausam gemeuchelt worden. Seine Frauen werden weinen und ihre Kleider zerreißen. Das Volk wird seinen plötzlichen Tod beweinen!
{faction_leader_imperator_body_roman}				Unser Anführer hat ausreichend militärische Macht, politischen Einfluss und religiöse Autorität, um zum Imperator ernannt zu werden! Dies ist ein Moment des außerordentlichen Triumphes!
{faction_leader_imperator_body_barbarian}			Unser Anführer ist zum 'Imperator' der römischen Welt ernannt worden! Ist es nicht seltsam, dass Götter und Schicksal dies ermöglicht haben?
{faction_leader_imperator_body_carthaginian}			Das Schicksal hat seltsame Launen. Dass einer unserer Leute zum 'Imperator' der einst römischen Welt gemacht wird, ist wirklich eine seltsame Wendung des Schicksals!
{faction_leader_imperator_body_greek}				Tyche lächelt wohlwollend auf uns nieder, da unser Anführer zum 'Imperator' der Römer ernannt worden ist. Dieser Titel muss vielen Römern in der Kehle stecken bleiben, wenn er von einem 'verweichlichten' Griechen getragen wird!
{faction_leader_imperator_body_egyptian}			Die Götter sind haben ihre Gunst unter Beweis gestellt, und der Pharao kann seiner Krone nun einen neuen Titel hinzufügen: Imperator der römischen Welt.
{faction_leader_imperator_body_eastern}			Die Götter sind uns wohlgesinnt, da unser Herrscher nun zum 'Imperator' der Römer ernannt worden ist, ein weiterer 'geringfügiger' Titel, den er seinen zahllosen Ehren hinzufügen kann!
{faction_richest_body_roman}					Die anderen blicken mit Neid auf den Wohlstand, der von dieser Seite zur Schau getragen wird.
{faction_richest_body_barbarian}				Dieses Volk hat unglaublich viel Gold und Reichtümer, es ist eine wahrhaft starke und würdige Seite!
{faction_richest_body_carthaginian}				Der Profit des Handels und das Wohlwollen ihrer Götter hat diese Leute zu den Reichsten der bekannten Welt gemacht!
{faction_richest_body_greek}					Die Gunst der Götter und die Fähigkeit der Händler und Handwerker haben dieses Volk zum Reichsten der Welt gemacht.
{faction_richest_body_egyptian}				Die Gunst der Götter und die Fähigkeit der vielen Händler haben dieses Volk zum Reichsten von allen gemacht.
{faction_richest_body_eastern}				Neid ist eine angebrachte Antwort auf den Wohlstand, den das Volk zur Schau stellt!
{faction_largest_body_roman}					Diese Seite ist jetzt die größte in der bekannten Welt. Die anderen müssen vor Erstaunen erstarren und Furcht vor ihrer Macht verspüren.
{faction_largest_body_barbarian}				Dieses Volk ist seinen Rivalen zahlenmäßig überlegen und weit verbreitet. Vielleicht ein zu großes Ziel für unsere Krieger ...
{faction_largest_body_carthaginian}				Diese Seite kontrolliert nun viel von der Welt, ihre Armeen sind zahlreich und mächtig.
{faction_largest_body_greek}					Diese Seite ist von den Göttern bevorzugt worden, sie ist nun die größte der bekannten Welt.
{faction_largest_body_egyptian}				Die Götter haben dieses Volk mit einer außerordentlichen Fruchtbarkeit gesegnet, wodurch es zur größten Seite der Welt wird.
{faction_largest_body_eastern}				Respekt und Furcht kommen einem in den Sinn, wenn man diese Seite betrachtet - die größte in der uns bekannten Welt!
{faction_strongest_body_roman}				Die Götter haben dieses Volk gesegnet und es zum stärksten der Welt gemacht.
{faction_strongest_body_barbarian}				Die Götter haben diesem Volk eine große Stärke verliehen. Es empfiehlt sich, es mit Respekt zu behandeln, zumindest für den Moment.
{faction_strongest_body_carthaginian}				Die Götter haben in ihrer Weisheit dieses Volk zum stärksten der Welt gemacht.
{faction_strongest_body_greek}				Die Götter haben diesem Volk eine große Stärke verliehen. Die anderen werden gut daran tun, diese Stärke zu respektieren.
{faction_strongest_body_egyptian}				Der Segen der Götter ist in dieses Volk geflossen und hat es zum stärksten Volk der Welt gemacht.
{faction_strongest_body_eastern}				Die Götter haben freundlich auf dieses Volk niedergeschaut und ihm zu einer großen Stärke gegen seine Gegner verholfen.
{faction_advanced_body_roman}				Diese Seite ist die fortschrittlichste in der bekannten Welt. Ihre Errungenschaften sind ein Wunder für alle anderen Völker.
{faction_advanced_body_barbarian}				Dieses Volk ist das fortschrittlichste der Welt. Werden seine Krieger jedoch durch die hohen Gebäude und Steintürme stärker?
{faction_advanced_body_carthaginian}				Diese Seite ist die fortschrittlichste in der bekannten Welt, ihre zahllosen Errungenschaften erregen zu Recht den Neid aller.
{faction_advanced_body_greek}				Der Gott der Schmiede, Hephaestus, muss dieses Volk favorisiert haben, da seine Fähigkeiten zu den fortschrittlichsten der Welt gehören.
{faction_advanced_body_egyptian}				Die Götter des Lernens - vielleicht sogar Thoth selbst - haben diesem Volk geholfen und es zum fortschrittlichsten Volk der ganzen Welt gemacht.
{faction_advanced_body_eastern}				Die Götter haben diesem Volk als Lehrer gedient und es zum fortschrittlichsten Volk der Welt gemacht.
{army_revolt_body_roman}					Diese Armee ist eine Schande für die militärische Disziplin und die römischen Ideale der Pflichterfüllung. Die Offiziere und Männer haben gegen ihren rechtmäßigen Kommandanten gemeutert.
{army_revolt_body_barbarian}					Diese Armee revoltiert. Diese abtrünnigen Schweine gehorchen den Befehlen ihres Herrn nicht mehr!
{army_revolt_body_carthaginian}				Diese Armee befleckt unsere Ehre. Die Soldaten haben unser Geld und unser Brot genommen und weigern sich nun, Befehle auszuführen!
{army_revolt_body_greek}					Diese Armee zeigt alle Anzeichen wahrer Griechen ... sie ist bereit, mit jedem über alles zu argumentieren und ihren rechtmäßigen Kommandanten zu widersprechen.
{army_revolt_body_egyptian}					Diese Armee hat gegen die Offiziere und Generäle des Pharaos revoltiert, wodurch sie schlimmer als Rebellen sind. Wer dem Pharao widerspricht, widerspricht einem Gott!
{army_revolt_body_eastern}					Diese Armee rebelliert gegen ihre Offiziere. Für diese mangelnde Loyalität verdienen sie alle das Schwert in ihrem Fleische!
{settlement_unrest_body_roman}				Das römische Recht ist hart, aber gerecht. Das verderbliche Volk dieser Siedlung ist jedoch anderer Meinung und ist unzufrieden, rastlos - sogar mürrisch!
{settlement_unrest_body_barbarian}				Die Bauern in dieser Siedlung sind sauer und verweigern die Arbeit. Sie zeigen nicht die angebrachte Furcht und Respekt gegenüber ihren Meistern.
{settlement_unrest_body_carthaginian}				Das Volk in dieser Siedlung ist einfach undankbar. Es lästert und beschwert sich, versammelt sich in wachsender Anzahl zum Protest und lässt den nötigen Respekt gegenüber der karthagischen Autorität vermissen.
{settlement_unrest_body_greek}				Das Volk dieser Siedlung ist extrem streitlustig und unkooperativ. Bald wird das Gerede über die Rebellion den Akt selbst provozieren!
{settlement_unrest_body_egyptian}				Diese Siedlung ist ein aufsässiger Ort, die Leute haben sich gegen die natürliche Ordnung der Dinge gerichtet. Ob sie wohl noch weit von einer offenen Rebellion entfernt sind?
{settlement_unrest_body_eastern}				Das Volk dieser Siedlung ist eine verderbliche Horde, sein bösartiges Gerede bedroht den Frieden!
{settlement_revolts_body_roman}				Diese Siedlung hat die Stirn gehabt, gegen die Gesetze und Würde Roms zu revoltieren! Dies ist eine Frechheit, die nach schwerer Bestrafung schreit.
{settlement_revolts_body_barbarian}				Die wertlosen Bauern und alten Frauen an diesem Ort ziehen den Tod dem Leben vor! Warum revoltieren sie sonst?
{settlement_revolts_body_carthaginian}				Die verderblichen Bürger dieses Orts haben die offene Revolte gegen den karthagischen Staat gewagt! Unglaublich!
{settlement_revolts_body_greek}				Die Bürger haben gegen ihre Ältesten revoltiert und wollen sich von niemandem beherrschen lassen außer sich selbst. Sie haben für ihre Unabhängigkeit zu den Waffen gegriffen!
{settlement_revolts_body_egyptian}				Die Bewohner dieser Siedlung leben in Revolte gegen die gottgegebene Macht und das Recht des Pharaos und seiner Repräsentanten, zu herrschen und über ihr Leben zu bestimmen!
{settlement_revolts_body_eastern}				Diese Siedlung hat revoltiert und ihre Leute haben die Waffen gegen ihre rechtmäßigen Herrscher ergriffen, die undankbaren Kreaturen!
{building_completed_body_roman}				Ein neues Gebäude ist gebaut worden, es verleiht einer guten und gesetzestreuen römischen Stadt nun Würde.
{building_completed_body_barbarian}				Ein neues Gebäude ist fertig gestellt worden - und das bedeutet weitere Wände, an denen Trophäen unserer gefallenen Gegner ausgestellt werden!
{building_completed_body_carthaginian}				Ein Gebäude ist von unseren Steinmetzen und Zimmerern fertig gestellt worden, ein schöner Beweis unseres Reichtums und unserer Macht.
{building_completed_body_greek}				Ein Gebäude ist von unseren fähigen Architekten fertig gestellt worden, es ist eine Zierde für unsere Stadt!
{building_completed_body_egyptian}				Es wurde ein schönes Gebäude gebaut, eine große Ehre des pharaonischen Ruhmes.
{building_completed_body_eastern}				Ein neues Gebäude wurde fertig gestellt, es macht diese Siedlung zu einem Ort, an dem man besser leben kann.
{unit_completed_body_roman}					Eine Einheit ist ausgebildet worden; sie ist nun bereit, sich der mächtigen römischen Armee anzuschließen.
{unit_completed_body_barbarian}				Eine neue Kriegerbande steht bereit für die Schlacht!
{unit_completed_body_carthaginian}				Eine Soldateneinheit ist ausgebildet worden, sie steht bereit für den Kampf gegen unsere Feinde.
{unit_completed_body_greek}					Neue Soldaten stehen bereit für den Dienst, ihre Ausbildung ist abgeschlossen und ihre Rüstungen und Waffen sind neu geschmiedet.
{unit_completed_body_egyptian}				Ein neuer Trupp Soldaten steht bereit; sie sind willig, ihr Leben für den weisen und gnadenvollen Pharao zu geben.
{unit_completed_body_eastern}				Eine frische Truppe wurde erstellt, sie erwartet ihre ersten Befehle!
{agent_recruited_body_roman}				Ein Agent hat seine Ausbildung abgeschlossen, er steht bereit für den Einsatz gegen alle Feinde Roms.
{agent_recruited_body_barbarian}				Wir haben einen Agenten ausgebildet, er wartet gespannt auf seine erste Mission.
{agent_recruited_body_carthaginian}				Ein Agent ist ausgebildet worden. Er ist bereit, Missionen zum Wohle des Staats durchzuführen.
{agent_recruited_body_greek}					Ein Agent ist ausgebildet worden. Er wartet nun auf die Chance, unsere unkultivierten und barbarischen Feinde auszuspionieren.
{agent_recruited_body_egyptian}				Ein neuer Agent ist ausgebildet worden, um die göttlichen Wünsche des Pharaos auszuführen.
{agent_recruited_body_eastern}				Ein Agent ist ausgebildet worden; er steht bereit, frevelhafte Taten für uns zu vollziehen!
{character_dies_natural_body_roman}				Die Götter haben den Zeitpunkt bestimmt, diesen Mann ins Jenseits zu holen. Sein Haushalt, sogar die Sklaven, werden seinen Tod betrauern.
{character_dies_natural_body_barbarian}			Auch wenn dieser Mann nicht einen richtigen Tod mit dem Schwert in seiner Hand gestorben ist, wird er betrauert werden.
{character_dies_natural_body_carthaginian}			Dieser Mann ist in das Leben nach dem Tod hinübergegangen. Seine Freunde und Gläubiger - sogar seine Sklaven - werden seinen Tod sicher betrauern.
{character_dies_natural_body_greek}				Der Fährmann hat einen neuen Passagier in das Jenseits gebracht, während die Verwandten dieses Mannes trauern.
{character_dies_natural_body_egyptian}			Osiris freut sich, eine Seele im Jenseits begrüßen zu dürfen, so lange die Feder der Wahrheit schwerer ist als das Herz dieses Mannes!
{character_dies_natural_body_eastern}				Die Götter haben den Zeitpunkt bestimmt, diesen Mann ins Jenseits zu holen. Seine Familie betrauert seinen Tod.
{character_dies_heroic_body_roman}				Dieser Mann ist gestorben wie ein wahrer Römer, er starb beim Vollbringen heroischer und ruhmreicher Taten. Die Ehre seiner Familie wird durch die Art seines Todes noch verstärkt.
{character_dies_heroic_body_barbarian}				Dieser Mann ist als wahrer Krieger gestorben - mit einem Schwert in der Hand, einem geschlagenen Gegner zu seinen Füßen und einem lauten Brüllen im Hals!
{character_dies_heroic_body_carthaginian}			Dieser Mann wurde getötet, es ist unserem Volk ein wahrer Held verloren gegangen. Ruhm und Ehre haben einen hohen Preis!
{character_dies_heroic_body_greek}				Dieser Mann ist den Tod eines Helden gestorben, ein neuer Achilles, der uns alle inspirieren sollte!
{character_dies_heroic_body_egyptian}				Dieser Mann ist den Tod eines wahren Helden gestorben. Anubis wird ihm sicherlich gewogen sein und ihm erlauben, für immer bei Osiris zu leben.
{character_dies_heroic_body_eastern}				Dieser Mann ist gewaltsam gestorben, aber er starb den Tod eines Helden ohne eine ehrlose Wunde in seinem Rücken!
{settlement_surrender_body_roman}				Diese Siedlung hat sich schändlicherweise dem Gegner ergeben, ein Fleck auf der Ehre Roms.
{settlement_surrender_body_barbarian}				Die Siedlung hat sich dem Gegner ergeben. Dies ist eine pathetische Darstellung unserer Tapferkeit im Krieg und extrem schändlich!
{settlement_surrender_body_carthaginian}			Die Bürger dieser Stadt haben sich dem Gegner ergeben, eine schändliche und teure Entscheidung!
{settlement_surrender_body_greek}				Die Bürger haben sich entschlossen, sich mit ihrer Stadt zu ergeben, anstatt sinnlos in ihren Ruinen zu sterben.
{settlement_surrender_body_egyptian}				Die Bürger dieser Siedlung haben sich ergeben und sich vom allmächtigen Pharao abgewandt.
{settlement_surrender_body_eastern}				Die Bürger dieses Ortes haben sich entschieden, ihre erbärmlichen Leben zu retten, indem sie aufgeben, anstatt ihren Feinden anständig Widerstand zu leisten!
{general_appointed_body_roman}				Ein neuer General ist ernannt worden, eine Ehre für ihn selbst, seine Familie und Rom - wenn er der Aufgabe gewachsen ist!
{general_appointed_body_barbarian}				Ein neuer Anführer im Krieg wurde gewählt. Möge er durch seine Anstrengungen zu Siegen und Ehre beitragen!
{general_appointed_body_carthaginian}				Ein neuer General ist ernannt worden, um die Armeen von Karthago zu befehligen. Mögen wir im Krieg von seiner Führerschaft profitieren!
{general_appointed_body_greek}				Ein neuer General wurde ernannt. Hoffen wir, dass seine Beherrschung der Strategie, Logistik und Taktik sich einer solch hohen Ehre würdig erweisen!
{general_appointed_body_egyptian}				Ein neuer General wurde in den Augen des Pharaos als würdig angesehen, demzufolge erhielt er die Ehre und das Kommando.
{general_appointed_body_eastern}				Ein neuer General erhielt das Kommando über unsere Streitkräfte. Hoffen wir, dass seine Fähigkeiten und sein Mut dieser Aufgabe entsprechen!
{general_promoted_body_roman}				Dieser General hat seinen Wert und seine Tugend als Sohn des Mars unter Beweis gestellt, dafür hat er eine Beförderung erlangt.
{general_promoted_body_barbarian}				Dieser Anführer hat im Krieg seinen Wert als Soldat unter Beweis gestellt. Er ist weiterer Ehrungen würdig!
{general_promoted_body_carthaginian}				Dieser General hat seinen Wert unter Beweis gestellt, er erhielt die Ehre und Anerkennung für seine Anstrengungen im Sinne des Staates.
{general_promoted_body_greek}				Dieser General hat seinen Wert und seine Fähigkeiten als Soldat bewiesen, er wurde mit Ruhm und Anerkennung für seine Leistungen geehrt.
{general_promoted_body_egyptian}				Dieser General hat seinen Wert beim Kommandieren der Soldaten des Pharaos unter Beweis gestellt, er sollte für seine Fähigkeiten geehrt werden.
{general_promoted_body_eastern}				Dieser General hat seinen Wert in der Schlacht unter Beweis gestellt, er verdient höhere Ehren und ruhmreichere Pflichten!
{general_dies_body_roman}					Dieser General ist tot, aber er hat ein würdiges Ende für einen Römer erlitten und seiner Familie und Rom Ehre gebracht.
{general_dies_body_barbarian}					Dieser Anführer wurde im Krieg geschlagen, er hatte sich jedoch zuvor unter Beweis gestellt und viele unserer Gegner getötet!
{general_dies_body_carthaginian}				Dieser General ist tot, aber sein Leben war ein wertvoller Beitrag zu Macht, Prestige und Reichtum der Karthager!
{general_dies_body_greek}					Der General ist tot und seine Truppen betrauern den Verlust eines so guten und talentierten Kommandanten.
{general_dies_body_egyptian}					Der General ist tot, seine Seele ist zu Osiris ins Jenseits hinübergegangen.
{general_dies_body_eastern}					Euer General liegt aufgebahrt und seine Trauernden schlagen sich die Brust und weinen vor Trauer!
{new_faction_leader_body_roman}				Eure Familie hat einen neuen Anführer. Sicherlich ist er ein Mann, der die römische Würde und Familienehre angesichts der äußeren Bedrohungen und innerhalb unserer Grenzen vertreten wird.
{new_faction_leader_body_barbarian}				Euer Volk hat einen neuen obersten Anführer. Ein Mann, der dem Volk Ruhm und Ehre bringen wird und in den Liedern der kommenden Jahre besungen werden soll!
{new_faction_leader_body_carthaginian}			Unser Volk hat einen neuen Anführer. Ein Mann, der allen Ehre und Wohlstand bringen und den Herzen unserer Gegner Furcht einflößen soll!
{new_faction_leader_body_greek}				Es gibt einen neuen Anführer der Griechen, der allen die Vorzüge seiner Zivilisation - Weisheit und Wissen - bringen soll.
{new_faction_leader_body_egyptian}				Der alte Pharao ist von uns gegangen, um seinen Platz an der Seite von Osiris einzunehmen. Die Ägypter sind mit einem neuen Pharao zufrieden, der als ein neuer Horus herrschen wird.
{new_faction_leader_body_eastern}				Unser Volk ist hocherfreut, da sein neuer Herrscher seinen rechtmäßigen Platz als Herr und Meister über alles, was er zwischen Sonnenauf- und -untergang sehen kann, einnimmt.
{new_faction_heir_body_roman}				Eure Familie hat einen neuen Erben; einen Mann, der seinen Vater und Rom unterstützen und ehren wird.
{new_faction_heir_body_barbarian}				Euer Volk ist hocherfreut, da der Anführer einen neuen Erben hat; einen Sohn, um die Ehre zu wahren und in die Welt zu tragen!
{new_faction_heir_body_carthaginian}				Unser Volk hat einen neuen Erben der höchsten Macht; einen Mann, der seinen zukünftigen Wohlstand und seinen rechten Platz in der Welt sichern wird!
{new_faction_heir_body_greek}				Das griechische Volk ist hocherfreut, da ein neuer Erbe des Anführers angekündigt wurde.
{new_faction_heir_body_egyptian}				Die Ägypter sind von Isis gesegnet, dem Pharao wurde ein neuer Erbe zuteil!
{new_faction_heir_body_eastern}				Unser Volk ist überglücklich über den neuen Erben und die Sicherheit, die dieser Segen in Zukunft bringen wird.
{new_bouncing_baby_body_roman}				Gute Neuigkeiten! Ein wahrer Römer ist ein Römer mit einer Familie. Die Botschaft dieser Geburt ist ein sichtbares Zeichen für die Zeugungskraft dieser Familie!
{new_bouncing_baby_body_barbarian}				Die Göttin hat uns wieder mit einem Kind gesegnet. Hoffen wir, dass es zum Mannesalter heranwachsen wird!
{new_bouncing_baby_body_carthaginian}			Tanit hat unsere Familie mit einem neuen Sohn gesegnet, einem Sohn, der zum Mann wird und seinem Volk Wohlstand und Ehre bringt.
{new_bouncing_baby_body_greek}				Die Götter haben es als angebracht erachtet, uns mit einem neuen Kind zu segnen.
{new_bouncing_baby_body_egyptian}				Kinder sind, wie die reichliche Überschwemmung des Nils, ein Segen der Natur.
{new_bouncing_baby_body_eastern}				Die Götter haben es als angebracht erachtet, uns mit einem neuen Kind zu segnen, das die herrschende Linie weitertragen wird.
{coming_of_age_body_roman}					Einer römischen Familie kann es noch besser gehen, wenn ihre Söhne volljährig werden, wie es hier der Fall ist.
