¬ Text file converted with loc_parser							
{your_citizens_killed}					Cittadini uccisi:		
{settlement_destroyed_body_barbarian}			Questo luogo è stato spazzato via dalla faccia della terra. La forza dei nostri guerrieri è venuta meno e gli dei della guerra sono disperati.	
{settlement_destroyed_body_carthaginian}			L'insediamento è stato raso al suolo. L'abilità dei nostri generali e il valore dei soldati non sono stati sufficienti a evitare questa sciagura!	
{settlement_destroyed_body_greek}				Questo insediamento è stato completamente distrutto. Gli dei si sono allontanati da noi e il valore greco da solo non è bastato a prevenire la catastrofe.
{settlement_destroyed_body_egyptian}			L'insediamento è stato spazzato via dalla faccia della terra e la sua gente scacciata e costretta a morire. Lo stesso Faraone si dispererà nel vedere i suoi figli trattati in questa maniera.	
{settlement_destroyed_body_eastern}			Questo luogo è stato cancellato dalla faccia della terra. Gli stessi dei si meravigliano di una tale assoluta distruzione!	
{naval_blockade_body_roman}				L'insediamento è soggetto a un blocco navale. I mercanti sono preoccupati per le difficoltà del commercio. I mercanti sono sempre preoccupati per qualcosa.
{naval_blockade_body_barbarian}				L'insediamento è soggetto a un blocco navale. I commercianti si lamentano, come fanno sempre, di non poter spostare le proprie merci e ottenere dei profitti.
{naval_blockade_body_carthaginian}				L'insediamento è soggetto a un blocco navale. I nostri mercanti esigono giustamente che le rotte vengano riaperte: il commercio è la linfa vitale di un impero!
{naval_blockade_body_greek}				L'insediamento è soggetto a un blocco navale: una sfida diretta alla tradizionale egemonia greca dei mari!
{naval_blockade_body_egyptian}				I mercanti dell'insediamento sono realmente preoccupati, ma non possono permettersi di celebrare i propri sacrifici a causa di questo blocco navale.
{naval_blockade_body_eastern}				I mercanti si lamentano perché le loro merci vengono rubate e le loro navi catturate a causa del blocco imposto a questo insediamento.
{wonder_captured_body_roman}				La cattura di questa grande Meraviglia è un magnifico atto da parte delle nostre truppe, degno di un eroe di Roma!
{wonder_captured_body_barbarian}				I nostri guerrieri hanno preso il controllo di questa incredibile Meraviglia del mondo. Di sicuro, per creare una cosa simile, i costruttori devono aver avuto l'aiuto dei giganti o degli dei!
{wonder_captured_body_carthaginian}			La nostra armata ha conquistato questa Meraviglia del mondo. Un simile trofeo è degno dei nostri sforzi!	
{wonder_captured_body_greek}				La nostra armata ha catturato una delle favolose Meraviglie del mondo. Un tale trofeo è degno degli dei!	
{wonder_captured_body_egyptian}				I guerrieri del Faraone hanno conquistato una Meraviglia del mondo da aggiungere alla gloria del suo trono!	
{wonder_captured_body_eastern}				La nostra armata ha preso il controllo di una Meraviglia! Saranno in molti a stupirsi dell'esistenza di un'opera simile!	
{wonder_lost_body_roman}					La perdita di questa Meraviglia rappresenta un giorno di vergogna per tutti i Romani. Gli dei stessi rimangono attoniti di fronte a una tale umiliazione!
{wonder_lost_body_barbarian}				Non abbiamo più il controllo di questa Meraviglia. I nostri guerrieri dovrebbero soltanto vergognarsi, in un giorno come questo!	
{wonder_lost_body_carthaginian}				La vergogna per aver perso questa Meraviglia è l'unica ricompensa per i nostri generali e i loro uomini!	
{wonder_lost_body_greek}					La nostra armata non è stata capace di evitare la perdita di una favolosa Meraviglia del mondo.
{wonder_lost_body_egyptian}				La gloria del Faraone è stata offuscata dalla perdita di questa favolosa Meraviglia. Egli soltanto era degno da poterla dire propria, e ora gli è stata strappata.	
{wonder_lost_body_eastern}				La nostra armata ha perso il controllo di una Meraviglia del mondo. Subire una tale umiliazione è per noi motivo di vergogna e disonore.	
{faction_leader_dies_body_roman}				Il nostro duce è morto, un nobile romano che si è riunito ai suoi nobili antenati e nella sua grandezza costituirà un esempio per tutte le generazioni future.	
{faction_leader_dies_body_barbarian}				Il nostro capo è morto, è andato a riunirsi a molti altri gloriosi guerrieri nella prossima vita. Le sue gesta verranno ricordate nel canto dei bardi!	
{faction_leader_dies_body_carthaginian}			Il nostro capo è morto e ora cammina con i suoi nobili antenati nell'aldilà. Le sue imprese saranno di ispirazione a coloro che seguiranno le sue orme.		
{faction_leader_dies_body_greek}				Il nostro capo è morto e ora ha raggiunto il regno di Ade.	
{faction_leader_dies_body_egyptian}				Il nostro Faraone è ora al cospetto di Osiride: il confronto sulla bilancia della sua anima con la Piuma della verità sarà di certo una mera formalità.	
{faction_leader_dies_body_eastern}				Il nostro signore è morto e tutte le genti si uniscono nella preghiera per la sua grande anima.	
{faction_leader_killed_body_roman}				Il nostro duce è stato vilmente ucciso! Qualcuno pagherà per questo oltraggio. Qualcuno soffrirà sotto il peso della vendetta di Roma!	
{faction_leader_killed_body_barbarian}			Il nostro grande capo è stato ucciso a tradimento! Qualcuno dovrà versare del sangue per pagare questo oltraggio! La vendetta esige che qualcuno paghi con la vita!	
{faction_leader_killed_body_carthaginian}			Il nostro potente signore giace morto, ucciso dai suoi nemici! Tutta la grandezza del nostro popolo vale ben poco di fronte a una tragedia di questa grandezza!	
{faction_leader_killed_body_greek}				Il nostro signore è morto, ucciso dai nostri nemici e ora è in viaggio verso l'Ade. La sua ombra grida vendetta!
{faction_leader_killed_body_egyptian}				Il Faraone è stato ucciso e ora è al cospetto di Anubi per essere giudicato. La nostra speranza è che possa unirsi ad Osiride per l'eternità.
{faction_leader_killed_body_eastern}				Il nostro signore è stato brutalmente ucciso. Le sue donne gemono e si lacerano le vesti e tutto il popolo piange la sua scomparsa prematura!
{faction_leader_imperator_body_roman}			Il nostro signore ha ottenuto potere militare, influenza politica e autorità religiosa tali da essere nominato imperatore! Questo è il momento del suo supremo trionfo!	
{faction_leader_imperator_body_barbarian}			Il nostro capo è stato proclamato imperatore del mondo romano! Non è strano che gli dei e il fato abbiano deciso che accadesse proprio questo?	
{faction_leader_imperator_body_carthaginian}			Il fato è davvero capriccioso. Che proprio uno della nostra gente venisse dichiarato imperatore di quello che era il mondo romano è davvero uno strano destino!	
{faction_leader_imperator_body_greek}			Tico sorride su di noi: il nostro capo è stato dichiarato imperatore di Roma, un titolo che andrà sicuramente di traverso a molti Romani, visto che dovrà essere portato da un "decadente" greco!	
{faction_leader_imperator_body_egyptian}			Gli dei sono assai benigni, e il Faraone può ora aggiungere un nuovo titolo alla sua corona: imperatore del mondo romano!	
{faction_leader_imperator_body_eastern}			Gli dei sono capricciosi: il nostro signore è stato dichiarato imperatore dei Romani, un altro titolo "minore" da aggiungere ai suoi molti onori!	
{faction_richest_body_roman}				Tutti gli altri guardano con invidia la ricchezza ostentata da questo popolo.
{faction_richest_body_barbarian}				Queste genti nuotano nell'oro e nella ricchezza: un frutto maturo per essere colto da chi è forte e degno!
{faction_richest_body_carthaginian}				I profitti nel commercio e il favore degli dei hanno reso queste genti le più ricche di tutto il mondo conosciuto!
{faction_richest_body_greek}				Il favore degli dei e l'abilità dei mercanti e degli artigiani hanno reso questo popolo il più ricco del mondo.
{faction_richest_body_egyptian}				Il favore degli dei e l'abilità di molti mercanti hanno reso queste genti più ricche di chiunque altro.
{faction_richest_body_eastern}				L'invidia è una risposta adeguata alla ricchezza ostentata da queste genti!
{faction_largest_body_roman}				Questa è ora la più grande fazione del mondo conosciuto. Tutti gli altri rivolgono sguardi di stupore e meraviglia alla sua potenza.
{faction_largest_body_barbarian}				Queste genti sono ora molto più diffuse e numerose dei loro rivali. Un bersaglio oltremodo allettante per i nostri guerrieri...
{faction_largest_body_carthaginian}				Questa fazione ora controlla gran parte del mondo e le sue armate sono potenti e numerose.
{faction_largest_body_greek}				Questa fazione è stata favorita dai suoi dei e ora è la più grande del mondo conosciuto.
{faction_largest_body_egyptian}				Queste genti sono state benedette dai propri dei con un'eccezionale fecondità e tutto ciò le ha rese la più grande fazione del mondo.
{faction_largest_body_eastern}				Il rispetto, unito alla paura di quello che potrebbero fare, è il comportamento che andrebbe tenuto nei confronti di questa fazione: la più grande del mondo conosciuto!
{faction_strongest_body_roman}				Gli dei hanno benedetto queste genti rendendole le più forti del mondo.
{faction_strongest_body_barbarian}				Gli dei hanno concesso a questo popolo una grande forza. Almeno per ora, faremmo meglio a trattarli con rispetto.
{faction_strongest_body_carthaginian}			Nella loro saggezza, gli dei hanno reso questo popolo il più forte del mondo.	
{faction_strongest_body_greek}				Gli dei hanno concesso a queste genti una grande forza e gli altri uomini farebbero bene a trattare con rispetto una tale potenza!
{faction_strongest_body_egyptian}				La benedizione degli dei è scesa su queste genti, rendendole le più forti di tutto il mondo.
{faction_strongest_body_eastern}				Gli dei hanno rivolto il loro sguardo benigno verso queste genti, dando loro una grande forza contro i nemici.
{faction_advanced_body_roman}				Questa fazione è la più avanzata del mondo conosciuto. Le sue conquiste sono una meraviglia agli occhi di tutti gli altri popoli.
{faction_advanced_body_barbarian}				Queste genti sono le più avanzate del mondo, ma le loro torri di pietra e gli alti edifici li rendono grandi guerrieri o validi nemici?
{faction_advanced_body_carthaginian}			Questa fazione è la più avanzata del mondo conosciuto e le loro innumerevoli conquiste attirano la giusta invidia da parte di tutti.	
{faction_advanced_body_greek}				Efesto, il dio delle forge, deve aver favorito questo popolo dato che la sua abilità lo ha reso il più avanzato del mondo.	
{faction_advanced_body_egyptian}				Gli dei della sapienza, forse lo stesso Thoth, devono aver deciso di aiutare queste genti, rendendole le più avanzate del mondo.	
{faction_advanced_body_eastern}				Gli stessi dei devono esser stati i maestri di queste genti e devono aver donato loro le capacità per farne le più avanzate del mondo.	
{army_revolt_body_roman}					Questa armata è una vergogna per la disciplina militare e per gli ideali romani di dovere. Gli ufficiali e gli uomini si sono ammutinati al loro legittimo comandante.
{army_revolt_body_barbarian}				Questa armata è in rivolta. I suoi guerrieri non risondono più agli ordini del loro signore, porci rinnegati!	
{army_revolt_body_carthaginian}				Questa armata rappresenta un'onta per il nostro onore. I soldati hanno preso il nostro pane e il nostro denaro ma ora si rifiutano di obbedire ai nostri ordini!	
{army_revolt_body_greek}					Questa armata mostra di essere composta da veri Greci: più che disposti a discutere con tutti e di tutto e a disubbidire ai legittimi comandanti!
{army_revolt_body_egyptian}				Questa armata si è ribellata agli ufficiali e ai generali del Faraone, mettendosi al pari dei ribelli, in quanto chi va contro la parola del Faraone sfida la parola di un dio!	
{army_revolt_body_eastern}				I componenti di questa armata si sono ribellati ai loro ufficiali. Meritano tutti di assaggiare il filo della spada per una tale mancanza di fedeltà!	
{settlement_unrest_body_roman}				La legge romana è severa ma giusta. La gente di questo insediamento, invece, non è di questa opinione ed è scontente, irrequieta... persino scontrosa!	
{settlement_unrest_body_barbarian}				Gli abitanti di questo insediamento sono scontrosi e si rifiutano di lavorare come dovrebbero: non mostrano la giusta paura e il rispetto dovuto ai loro padroni.	
{settlement_unrest_body_carthaginian}			La gente di questo insediamento è priva di gratitudine. Mormora e si lamenta, si raduna in numero sempre maggiore per protestare ed è priva del giusto rispetto per l'autorità cartaginese.		
{settlement_unrest_body_greek}				La gente di questo insediamento non collabora ed è litigiosa all'estremo. Se non la controlliamo, i discorsi di ribellione si trasformeranno da soli nell'atto stesso!	
{settlement_unrest_body_egyptian}				Questo insediamento è un luogo irritante i suoi abitanti mormora contro l'ordine naturale del mondo. Come può essere lontana la ribellione dai loro pensieri?	
{settlement_unrest_body_eastern}				La gente di questo insediamento è un'orda fastidiosa e i loro mormorii minacciano di disturbare la quiete di chi è meglio di loro!
{settlement_revolts_body_roman}				Questo insediamento ha avuto l'ardire di rivoltarsi contro le leggi e la sovranità di Roma! Questo è un oltraggio che merita una severa punizione!
{settlement_revolts_body_barbarian}				Gli inutili contadini e le vecchie di questo luogo hanno apparentemente deciso che la morte è preferibile alla vita. Per quale altro motivo dovrebbero scegliere di ribellarsi?
{settlement_revolts_body_carthaginian}			I fastidiosi cittadini di questo luogo sono in aperta rivolta contro lo stato cartaginese. Tutto ciò è oltraggioso!	
{settlement_revolts_body_greek}				Gli abitanti di questo centro si sono ribellati contro i propri anziani e chi è meglio di loro, e non desiderano avere altri padroni all'infuori di se stessi! A tal fine hanno addirittura preso le armi!
{settlement_revolts_body_egyptian}				La gente di questo insediamento è in rivolta contro il potere concesso dal dio e il diritto del Faraone e dei suoi rappresentati di dominare e guidare la loro vita!
{settlement_revolts_body_eastern}				Questo insediamento è in rivolta e la sua gente ha preso le armi contro i propri signori di diritto! Luridi ingrati!
{building_completed_body_roman}				È stata ultimata una nuova struttura che ora aggiunge dignità a una città osservante delle leggi romane.
{building_completed_body_barbarian}				È stata ultimata una nuova struttura: ciò significa che altri muri mostreranno i trofei strappati ai nemici caduti!
{building_completed_body_carthaginian}			I nostri muratori e carpentieri hanno ultimato una nuova struttura: una dimostrazione della nostra ricchezza e del nostro potere.	
{building_completed_body_greek}				I nostri abili architetti hanno ultimato una struttura: un nuovo ornamento per la città!
{building_completed_body_egyptian}				È stata ultimata una magnifica struttura: un altro onore per la gloria del Faraone.
{building_completed_body_eastern}				È stata ultimata una nuova struttura, rendendo questo insediamento un posto migliore in cui vivere.
{unit_completed_body_roman}				Un'unità è stata addestrata ed è pronta a unirsi al potente esercito di Roma.
{unit_completed_body_barbarian}				Una nuova banda di guerrieri è pronta a gettarsi nella mischia!
{unit_completed_body_carthaginian}				Un'unità di soldati ha completato l'addestramento e ora è desiderosa di combattere contro i nostri nemici.
{unit_completed_body_greek}				Nuovi soldati sono pronti a compiere il proprio dovere: il loro addestramento è terminato, le loro armature e le loro armi sono state appena forgiate.
{unit_completed_body_egyptian}				Una nuova unità di soldati è pronta a immolare le proprie vite per il saggio e misericordioso Faraone.
{unit_completed_body_eastern}				Una nuova unità di truppe è appena stata reclutata e ora attende i primi ordini.
{agent_recruited_body_roman}				Un agente ha ultimato l'addestramento ed è pronto a essere impiegato contro tutti i nemici di Roma!
{agent_recruited_body_barbarian}				Abbiamo addestrato un agente: attende la sua prima missione con ansia.
{agent_recruited_body_carthaginian}				Un agente è stato addestrato e ora è pronto a intraprendere missioni utili per il nostro stato.
{agent_recruited_body_greek}				Un agente è stato debitamente addestrato e ora attende la possibilità di spiare i nostri barbari e primitivi nemici.
{agent_recruited_body_egyptian}				Un nuovo agente è stato addestrato per esaudire i divini desideri del Faraone.
{agent_recruited_body_eastern}				Un agente è stato addestrato ed è desideroso di realizzare i nostri piani.
{character_dies_natural_body_roman}			Gli dei hanno ritenuto opportuno inviare quest'uomo nell'aldilà. I suoi familiari, e persino i suoi schiavi, piangeranno per il suo trapasso.	
{character_dies_natural_body_barbarian}			Anche se quest'uomo non ha avuto una giusta morte, con una spada in mano, verrà comunque compianto.	
{character_dies_natural_body_carthaginian}			Quest'uomo ha raggiunto l'aldilà. I suoi amici e creditori, addirittura i suoi schiavi, piangeranno la sua dipartita.	
{character_dies_natural_body_greek}				Il traghettatore ha un nuovo passeggero da trasportare nell'aldilà fintanto che i parenti di quest'uomo lo piangeranno.
{character_dies_natural_body_egyptian}			Osiride gioisce nel dare il benvenuto nell'aldilà a un'anima, fintanto che la piuma della verità si dimostra più pesante del cuore di quell'uomo!	
{character_dies_natural_body_eastern}			Gli dei hanno ritenuto opportuno inviare quest'uomo nell'aldilà. La sua famiglia piange la sua dipartita.	
{character_dies_heroic_body_roman}				Quest'uomo è morto da vero romano, ucciso mentre compiva un'impresa nobile ed eroica. Le circostanze della sua morte accrescono l'onore della sua famiglia.
{character_dies_heroic_body_barbarian}			Quest'uomo è morto come dovrebbe fare ogni vero guerriero, con una spada in pugno e nemici uccisi ai suoi piedi, con grido di sfida al nemico ancora in gola!	
{character_dies_heroic_body_carthaginian}			Quest'uomo è stato ucciso e il nostro popolo ha perso un vero eroe. Gloria e onore hanno un prezzo molto alto!	
{character_dies_heroic_body_greek}				Quest'uomo ha avuto una vera morte da eroe, come un nuovo Achille inviato tra di noi per ispirarci!
{character_dies_heroic_body_egyptian}			Quest'uomo ha avuto una vera morte da eroe e Anubi lo giudicherà di sicuro benignamente, permettendogli di vivere per sempre al fianco di Osiride.	
{character_dies_heroic_body_eastern}			Quest'uomo è stato barbaramente ucciso, ma ha avuto una morte da eroe senza subire una disonorevole ferita alla schiena!	
{settlement_surrender_body_roman}				Questo insediamento si è vergognosamente arreso al nemico: un'onta per l'onore di Roma.
{settlement_surrender_body_barbarian}			L'insediamento si è arreso al nemico. Questo patetico riflesso della nostra grandezza guerriera è una vergogna insopportabile!	
{settlement_surrender_body_carthaginian}			La gente di questa città si è arresa al nemico: una scelta vergognosa e costosa!	
{settlement_surrender_body_greek}				La gente ha deciso di arrendersi piuttosto che morire inutilmente tra le rovine.
{settlement_surrender_body_egyptian}			La gente di questo insediamento si è arresa, voltando vergognosamente le spalle al saggio Faraone.	
{settlement_surrender_body_eastern}				La gente di questo luogo ha deciso di salvare la propria miserabile vita arrendendosi anziché resistere ai nemici!
{general_appointed_body_roman}				È stato nominato un nuovo generale, che darà onore a sé, alla sua famiglia e a Roma. Sempre che si dimostri degno dell'incarico!
{general_appointed_body_barbarian}				Un nuovo signore della guerra è stato scelto. Possa conquistare onore e vittoria con le sue imprese!
{general_appointed_body_carthaginian}			Un nuovo generale è stato incaricato di comandare le armate di Cartagine. Che la sua guida possa garantirci nuovi guadagni!	
{general_appointed_body_greek}				Un nuovo generale è stato posto al comando. Speriamo che la sua conoscenza della strategia, della logistica e della tattica siano degne di un tale grande onore!
{general_appointed_body_egyptian}				Un nuovo generale è stato ritenuto degno dello sguardo del Faraone e, di conseguenza, gli sono stati concessi gli onori del comando.
{general_appointed_body_eastern}				A un nuovo generale è stato affidato il comando delle nostre forze. Speriamo che il suo coraggio e le sue abilità siano all'altezza dei nuovi compiti!
{general_promoted_body_roman}				Questo generale ha dimostrato il proprio valore e la propria virtù come figlio di Marte ed è stato onorato con una promozione.
{general_promoted_body_barbarian}				Questo signore della guerra ha dimostrato il proprio valore come guerriero e capo di guerrieri. Merita altri onori!	
{general_promoted_body_carthaginian}			Questo generale ha dimostrato il proprio valore e gli sono stati concessi onori come riconoscimento dei suoi sforzi in favore dello stato.		
{general_promoted_body_greek}				Questo generale ha dimostrato il proprio valore e abilità come soldato ed è stato onorato con la fama e il riconoscimento delle sue conquiste.	
{general_promoted_body_egyptian}				Questo generale ha dimostrato il proprio valore comandando i soldati del Faraone e dovrebbe essere onorato per la sua abilità.	
{general_promoted_body_eastern}				Questo generale ha dimostrato il proprio valore in battaglia ed è meritevole di più alti onori e maggiori doveri!	
{general_dies_body_roman}					Questo generale è morto, ma ha avuto una fine degna di un romano e ha portato onore all'Urbe e alla sua famiglia.
{general_dies_body_barbarian}				Questo signore della guerra è stato ucciso ma non prima di essersi conquistato una morte degna e aver ucciso molti dei nostri nemici!	
{general_dies_body_carthaginian}				Questo generale è morto, ma la sua vita è stata un degno contribuito alla potenza, al prestigio e alla ricchezza cartaginese!	
{general_dies_body_greek}					Il generale è morto e le sue truppe piangono la perdita di un tale comandante capace e degno.
{general_dies_body_egyptian}				Il generale giace morto, la sua anima è giunta da Osiride, nell'aldilà.	
{general_dies_body_eastern}				Il tuo generale giace sulla lettiga funeraria e i suoi cari si battono il petto e gemono di dolore.	
{new_faction_leader_body_roman}				La tua famiglia ha un nuovo capo, un uomo sicuramente in grado di mantenere la dignità e le virtù familiari romane di fronte a minacce esterne e interne ai nostri confini.	
{new_faction_leader_body_barbarian}				La tua gente ha un nuovo capo supremo, un uomo in grado di tenere alto l'onore e la gloria del popolo e di conquistare fama per il suo nome nei canti delle prossime epoche!	
{new_faction_leader_body_carthaginian}			La nostra gente ha un nuovo capo, un uomo che porterà onore e ricchezza a tutti e che infonderà la paura nei cuori dei nostri nemici!		
{new_faction_leader_body_greek}				C'è un nuovo capo dei Greci, un uomo che porterà il meglio della loro civiltà, saggezza e sapere a tutti gli altri.	
{new_faction_leader_body_egyptian}				Il vecchio Faraone ha raggiunto il suo posto al fianco di Osiride e gli Egizi sono grati che venga un nuovo Ra a governarli, un nuovo Faraone.	
{new_faction_leader_body_eastern}				La nostra gente è lieta che il nuovo signore prenda il proprio legittimo posto come padrone e dominatore di tutto quello che il suo sguardo incontra, dall'alba al tramonto.
{new_faction_heir_body_roman}				La tua famiglia ha un nuovo erede alla guida della fazione, un uomo che darà sostegno e onore a suo padre e a Roma.
{new_faction_heir_body_barbarian}				La tua gente è lieta che il suo capo abbia un nuovo erede, un figlio che possa aiutare e sostenere la loro gloria.
{new_faction_heir_body_carthaginian}			La nostra gente ha un nuovo erede al potere supremo, un uomo che le assicurerà un futuro di prosperità e il suo legittimo posto nel mondo!	
{new_faction_heir_body_greek}				Il popolo greco è lieto che sia stato annunciato un nuovo erede alla carica di capo.
{new_faction_heir_body_egyptian}				Gli Egizi sono benedetti da Iside e un nuovo erede è stato concesso al Faraone!
{new_faction_heir_body_eastern}				Il nostro popolo gioisce alla notizia della nomina di un nuovo erede e alla sicurezza che, in futuro, questa benedizione porterà.
{new_bouncing_baby_body_roman}				Liete nuove! Un vero romano è tale solo se ha una discendenza, e la notizia di questa nascita è il simbolo visibile della virilità di questa famiglia!
{new_bouncing_baby_body_barbarian}			La dea ci ha benedetti ancora una volta con un bambino. Speriamo che cresca fino a diventare adulto.	
{new_bouncing_baby_body_carthaginian}			Tanit ha benedetto la nostra famiglia con un nuovo figlio, un bambino che crescerà fino a diventare adulto, per portare ricchezza e onore al suo popolo.	
{new_bouncing_baby_body_greek}				Gli dei hanno ritenuto opportuno benedirci con l'arrivo di un nuovo bambino.
{new_bouncing_baby_body_egyptian}				I figli sono una benedizione, come le ricche inondazioni del fiume Nilo.
{new_bouncing_baby_body_eastern}				Gli dei hanno ritenuto opportuno benedirci con un nuovo bambino per continuare la stirpe regnante.
{coming_of_age_body_roman}				Una famiglia romana non può che arricchirsi con la maturità di uno dei suoi figli, come in questo caso.
{coming_of_age_body_barbarian}				Un popolo viene reso più forte quando uno dei figli del suo capo raggiunge la maturità e si fa avanti per essere capo a sua volta!
{coming_of_age_body_carthaginian}				La nostra gente viene resa più forte dall'aggiunta di nuovi uomini; e un uomo nuovo che un giorno sarà un capo costituisce davvero una benedizione degli dei!
{coming_of_age_body_greek}				Il popolo greco riceve forza dalla maturità di questo giovane Achille, un eroe futuro!	
{coming_of_age_body_egyptian}				La gente è allietata dalla maturità di uno dei figli e servitori del saggio Faraone.	
{coming_of_age_body_eastern}				La famiglia del nostro signore viene rafforzata dalla maturità di suo figlio.	
{marriage_body_roman}					Il matrimonio e la casa costituiscono le fondamenta della grandezza di un romano e il rafforzamento di Roma è una benedizione degli dei.
{marriage_body_barbarian}					Un matrimonio importante può solamente rinforzare la nostra gente: rappresenta una benedizione da parte della dea della fertilità.
{marriage_body_carthaginian}				Un matrimonio importante come questo può solamente rafforzarci e portare su noi tutti le fertili benedizioni di Baal.	
{marriage_body_greek}					Un matrimonio come questo può costituire un vantaggio politico per il nostro popolo.
{marriage_body_egyptian}					Un matrimonio come questo può solamente aumentare la gloria d'Egitto e del saggio Faraone.
{marriage_body_eastern}					Il matrimonio è un importante strumento di diplomazia e governo, ma non preclude certo delle celebrazioni!
{adoption_body_roman}					Quest'uomo è stato adottato dalla famiglia e porterà onore e aiuto alle nostre imprese, come un qualunque figlio naturale.
{adoption_body_barbarian}					Quest'uomo è stato adottato come uno del nostro popolo, avendo egli stesso dimostrato il proprio valore come astuto guerriero e grande capo. Possa portarci gloria negli anni futuri!
{adoption_body_carthaginian}				Quest'uomo è stato scelto come uno del nostro popolo e dimostrerà il proprio valore nuovamente portando grandezza e prosperità a noi tutti!	
{adoption_body_greek}					Quest'uomo è stato adottato come un vero greco, scegliendo di lasciarsi alle spalle altri usi e costumi molto meno civilizzati!
{adoption_body_egyptian}				Quest'uomo è stato adottato come se fosse uno dei figli naturali del Faraone. Un simile onore è più prezioso della stessa vita!	
{adoption_body_eastern}					Quest'uomo è stato adottato dalla famiglia regnante e sicuramente vi porterà la sua forza e il suo potere.
{faction_defeated_body_roman}				Le armi romane e il loro valore hanno giocato un ruolo importante nella sconfitta di questo popolo, un tempo assai potente.	
{faction_defeated_body_barbarian}				I nostri guerrieri hanno avuto un ruolo nella sconfitta di questo popolo! La sua grandezza è ora ridotta a un cumulo di macerie, pronte a essere spazzate via da un colpo di vento!
