¬Strings that use a base enumeration and add to it with a faction index to attain the proper string
¬ alemanni, empire_east, empire_west, empire_east_rebels, empire_west_rebels, franks, huns, sarmatians, sassanids, saxons, vandals, goths, 
¬ white_huns, ostrogoths, romano_british, slavs, celts, slave

¬ Faction Names
{ROMANS_JULII}					Дом Юлиев
{EMT_ROMANS_SENATE_GENERAL}					Римская армия (Сенат)
{EMT_ROMANS_SENATE_NAMED_CHARACTER}					Римский член семьи (Сенат)
{EMT_MACEDON_SPY}					Македонский шпион
{EMT_MACEDON_ASSASSIN}					Македонский убийца
{EMT_MACEDON_DIPLOMAT}					Македонский дипломат
{EMT_MACEDON_ADMIRAL}					Македонский флот
{EMT_MACEDON_GENERAL}					Македонская армия
{EMT_MACEDON_NAMED_CHARACTER}					Македонский член семьи
{EMT_EGYPT_SPY}					Египетский шпион
{EMT_EGYPT_ASSASSIN}					Египетский убийца
{EMT_EGYPT_DIPLOMAT}					Египетский дипломат
{EMT_EGYPT_ADMIRAL}					Египетский флот
{EMT_EGYPT_GENERAL}					Египетская армия
{EMT_EGYPT_NAMED_CHARACTER}					Египетский член семьи
{EMT_SELEUCID_SPY}					Селевкидский шпион
{EMT_SELEUCID_ASSASSIN}					Селевкидский убийца
{EMT_SELEUCID_DIPLOMAT}					Селевкидский дипломат
{EMT_SELEUCID_ADMIRAL}					Селевкидский флот
{EMT_SELEUCID_GENERAL}					Селевкидская армия
{EMT_SELEUCID_NAMED_CHARACTER}					Селевкидский член семьи
{EMT_CARTHAGE_SPY}					Карфагенский шпион
{EMT_CARTHAGE_ASSASSIN}					Карфагенский убийца
{EMT_CARTHAGE_DIPLOMAT}					Карфагенский дипломат
{EMT_CARTHAGE_ADMIRAL}					Карфагенский флот
{EMT_CARTHAGE_GENERAL}					Карфагенская армия
{EMT_CARTHAGE_NAMED_CHARACTER}					Карфагенский член семьи
{EMT_PARTHIA_SPY}					Парфянский шпион
{EMT_PARTHIA_ASSASSIN}					Парфянский убийца
{EMT_PARTHIA_DIPLOMAT}					Парфянский дипломат
{EMT_PARTHIA_ADMIRAL}					Парфянский флот
{EMT_PARTHIA_GENERAL}					Парфянская армия
{EMT_PARTHIA_NAMED_CHARACTER}					Парфянский член семьи
{EMT_PONTUS_SPY}					Понтийский шпион
{EMT_PONTUS_ASSASSIN}					Понтийский убийца
{EMT_PONTUS_DIPLOMAT}					Понтийский дипломат
{EMT_PONTUS_ADMIRAL}					Понтийский флот
{EMT_PONTUS_GENERAL}					Понтийская армия
{EMT_PONTUS_NAMED_CHARACTER}					Понтийский член семьи
{EMT_GAULS_SPY}					Галльский шпион
{EMT_GAULS_ASSASSIN}					Галльский убийца
{EMT_GAULS_DIPLOMAT}					Галльский дипломат
{EMT_GAULS_ADMIRAL}					Галльский флот
{EMT_GAULS_GENERAL}					Галльская армия
{EMT_GAULS_NAMED_CHARACTER}					Галльский член семьи
{EMT_GERMANS_SPY}					Германский шпион
{EMT_GERMANS_ASSASSIN}					Германский убийца
{EMT_GERMANS_DIPLOMAT}					Германский дипломат
{EMT_GERMANS_ADMIRAL}					Германский флот
{EMT_GERMANS_GENERAL}					Германская армия
{EMT_GERMANS_NAMED_CHARACTER}					Германский член семьи
{EMT_BRITONS_SPY}					Британский шпион
{EMT_BRITONS_ASSASSIN}					Британский убийца
{EMT_BRITONS_DIPLOMAT}					Британский дипломат
{EMT_BRITONS_ADMIRAL}					Британский флот
{EMT_BRITONS_GENERAL}					Британская армия
{EMT_BRITONS_NAMED_CHARACTER}					Британский член семьи
{EMT_ARMENIA_SPY}					Армянский шпион
{EMT_ARMENIA_ASSASSIN}					Армянский убийца
{EMT_ARMENIA_DIPLOMAT}					Армянский дипломат
{EMT_ARMENIA_ADMIRAL}					Армянский флот
{EMT_ARMENIA_GENERAL}					Армянская армия
{EMT_ARMENIA_NAMED_CHARACTER}					Армянский член семьи
{EMT_DACIA_SPY}					Дакийский шпион
{EMT_DACIA_ASSASSIN}					Дакийский убийца
{EMT_DACIA_DIPLOMAT}					Дакийский дипломат
{EMT_DACIA_ADMIRAL}					Дакийский флот
{EMT_DACIA_GENERAL}					Дакийская армия
{EMT_DACIA_NAMED_CHARACTER}					Дакийский член семьи
{EMT_GREEK_CITIES_SPY}					Греческий шпион
{EMT_GREEK_CITIES_ASSASSIN}					Греческий убийца
{EMT_GREEK_CITIES_DIPLOMAT}					Греческий дипломат
{EMT_GREEK_CITIES_ADMIRAL}					Греческий флот
{EMT_GREEK_CITIES_GENERAL}					Греческая армия
{EMT_GREEK_CITIES_NAMED_CHARACTER}					Греческий член семьи
{EMT_NUMIDIA_SPY}					Нумидийский шпион
{EMT_NUMIDIA_ASSASSIN}					Нумидийский убийца
{EMT_NUMIDIA_DIPLOMAT}					Нумидийский дипломат
{EMT_NUMIDIA_ADMIRAL}					Нумидийский флот
{EMT_NUMIDIA_GENERAL}					Нумидийская армия
{EMT_NUMIDIA_NAMED_CHARACTER}					Нумидийский член семьи
{EMT_SCYTHIA_SPY}					Скифский шпион
{EMT_SCYTHIA_ASSASSIN}					Скифский убийца
{EMT_SCYTHIA_DIPLOMAT}					Скифский дипломат
{EMT_SCYTHIA_ADMIRAL}					Скифский флот
{EMT_SCYTHIA_GENERAL}					Скифская армия
{EMT_SCYTHIA_NAMED_CHARACTER}					Скифский член семьи
{EMT_SPAIN_SPY}					Испанский шпион
{EMT_SPAIN_ASSASSIN}					Испанский убийца
{EMT_SPAIN_DIPLOMAT}					Испанский дипломат
{EMT_SPAIN_ADMIRAL}					Испанский флот
{EMT_SPAIN_GENERAL}					Испанская армия
{EMT_SPAIN_NAMED_CHARACTER}					Испанский член семьи
{EMT_THRACE_SPY}					Фракийский шпион
{EMT_THRACE_ASSASSIN}					Фракийский убийца
{EMT_THRACE_DIPLOMAT}					Фракийский дипломат
{EMT_THRACE_ADMIRAL}					Фракийский флот
{EMT_THRACE_GENERAL}					Фракийская армия
{EMT_THRACE_NAMED_CHARACTER}					Фракийский член семьи

{EMT_ALEMANNI_SPY}							Алеманнский шпион
{EMT_ALEMANNI_ASSASSIN}						Алеманнский наемный убийца
{EMT_ALEMANNI_DIPLOMAT}						Алеманнский дипломат
{EMT_ALEMANNI_ADMIRAL}						Алеманнский флот
{EMT_ALEMANNI_GENERAL}						Алеманнская армия
{EMT_ALEMANNI_NAMED_CHARACTER}				Алеманнский член семьи

{EMT_EMPIRE_EAST_SPY}						Римский (Восточная Империя) шпион
{EMT_EMPIRE_EAST_ASSASSIN}					Римский (Восточная Империя) наемный убийца
{EMT_EMPIRE_EAST_DIPLOMAT}					Римский (Восточная Империя) дипломат
{EMT_EMPIRE_EAST_ADMIRAL}					Римский (Восточная Империя) флот
{EMT_EMPIRE_EAST_GENERAL}					Римская (Восточная Империя) армия
{EMT_EMPIRE_EAST_NAMED_CHARACTER}			Римский (Восточная Империя) член семьи

{EMT_EMPIRE_WEST_SPY}						Римский (Западная Империя) шпион
{EMT_EMPIRE_WEST_ASSASSIN}					Римский (Западная Империя) наемный убийца
{EMT_EMPIRE_WEST_DIPLOMAT}					Римский (Западная Империя) дипломат
{EMT_EMPIRE_WEST_ADMIRAL}					Римский (Западная Империя) флот
{EMT_EMPIRE_WEST_GENERAL}					Римская (Западная Империя) армия
{EMT_EMPIRE_WEST_NAMED_CHARACTER}			Римский (Западная Империя) член семьи

{EMT_EMPIRE_EAST_REBELS_SPY}						Римский (мятежники Восточной Империи) шпион
{EMT_EMPIRE_EAST_REBELS_ASSASSIN}					Римский (мятежники Восточной Империи) наемный убийца
{EMT_EMPIRE_EAST_REBELS_DIPLOMAT}					Римский (мятежники Восточной Империи) дипломат
{EMT_EMPIRE_EAST_REBELS_ADMIRAL}					Римский (мятежники Восточной Империи) флот
{EMT_EMPIRE_EAST_REBELS_GENERAL}					Римская (мятежники Восточной Империи) армия
{EMT_EMPIRE_EAST_REBELS_NAMED_CHARACTER}			Римский (мятежники Восточной Империи) член семьи

{EMT_EMPIRE_WEST_REBELS_SPY}						Римский (мятежники Западной Империи) шпион
{EMT_EMPIRE_WEST_REBELS_ASSASSIN}					Римский (мятежники Западной Империи) наемный убийца
{EMT_EMPIRE_WEST_REBELS_DIPLOMAT}					Римский (мятежники Западной Империи) дипломат
{EMT_EMPIRE_WEST_REBELS_ADMIRAL}					Римский (мятежники Западной Империи) флот
{EMT_EMPIRE_WEST_REBELS_GENERAL}					Римская (мятежники Западной Империи) армия
{EMT_EMPIRE_WEST_REBELS_NAMED_CHARACTER}			Римский (мятежники Западной Империи) член семьи

{EMT_FRANKS_SPY}							Франкский шпион
{EMT_FRANKS_ASSASSIN}						Франкский наемный убийца
{EMT_FRANKS_DIPLOMAT}						Франкский дипломат
{EMT_FRANKS_ADMIRAL}						Франкский флот
{EMT_FRANKS_GENERAL}						Франкская армия
{EMT_FRANKS_NAMED_CHARACTER}				Франкский член семьи

{EMT_HUNS_SPY}						Гуннский шпион
{EMT_HUNS_ASSASSIN}					Гуннский наемный убийца
{EMT_HUNS_DIPLOMAT}					Гуннский дипломат
{EMT_HUNS_ADMIRAL}					Гуннский флот
{EMT_HUNS_GENERAL}					Гуннская армия
{EMT_HUNS_NAMED_CHARACTER}			Гуннский член семьи

{EMT_SARMATIANS_SPY}						Сарматский шпион
{EMT_SARMATIANS_ASSASSIN}					Сарматский наемный убийца
{EMT_SARMATIANS_DIPLOMAT}					Сарматский дипломат
{EMT_SARMATIANS_ADMIRAL}					Сарматский флот
{EMT_SARMATIANS_GENERAL}					Сарматская армия
{EMT_SARMATIANS_NAMED_CHARACTER}			Сарматский член семьи

{EMT_SASSANIDS_SPY}							Сасанидский шпион
{EMT_SASSANIDS_ASSASSIN}					Сасанидский наемный убийца
{EMT_SASSANIDS_DIPLOMAT}					Сасанидский дипломат
{EMT_SASSANIDS_ADMIRAL}						Сасанидский флот
{EMT_SASSANIDS_GENERAL}						Сасанидская армия
{EMT_SASSANIDS_NAMED_CHARACTER}				Сасанидский член семьи

{EMT_SAXONS_SPY}							Шпион саксов
{EMT_SAXONS_ASSASSIN}						Наемный убийца саксов
{EMT_SAXONS_DIPLOMAT}						Дипломат саксов
{EMT_SAXONS_ADMIRAL}						Флот саксов
{EMT_SAXONS_GENERAL}						Армия саксов
{EMT_SAXONS_NAMED_CHARACTER}				Член семьи саксов

{EMT_VANDALS_SPY}							Шпион вандалов
{EMT_VANDALS_ASSASSIN}						Наемный убийца вандалов
{EMT_VANDALS_DIPLOMAT}						Дипломат вандалов
{EMT_VANDALS_ADMIRAL}						Флот вандалов
{EMT_VANDALS_GENERAL}						Армия вандалов
{EMT_VANDALS_NAMED_CHARACTER}				Член семьи вандалов

{EMT_GOTHS_SPY}							Готский шпион
{EMT_GOTHS_ASSASSIN}					Готский наемный убийца
{EMT_GOTHS_DIPLOMAT}					Готский дипломат
{EMT_GOTHS_ADMIRAL}						Готский флот
{EMT_GOTHS_GENERAL}						Готская армия
{EMT_GOTHS_NAMED_CHARACTER}				Готский член семьи

{EMT_WHITE_HUNS_SPY}						Бело-гуннский шпион
{EMT_WHITE_HUNS_ASSASSIN}					Бело-гуннский наемный убийца
{EMT_WHITE_HUNS_DIPLOMAT}					Бело-гуннский дипломат
{EMT_WHITE_HUNS_ADMIRAL}					Бело-гуннский флот
{EMT_WHITE_HUNS_GENERAL}					Бело-гуннская армия
{EMT_WHITE_HUNS_NAMED_CHARACTER}			Бело-гуннский член семьи

{EMT_OSTROGOTHS_SPY}						Остготский шпион
{EMT_OSTROGOTHS_ASSASSIN}					Остготский наемный убийца
{EMT_OSTROGOTHS_DIPLOMAT}					Остготский дипломат
{EMT_OSTROGOTHS_ADMIRAL}					Остготский флот
{EMT_OSTROGOTHS_GENERAL}					Остготская армия
{EMT_OSTROGOTHS_NAMED_CHARACTER}			Остготский член семьи

{EMT_ROMANO_BRITISH_SPY}					Романо-британский шпион
{EMT_ROMANO_BRITISH_ASSASSIN}				Романо-британский наемный убийца
{EMT_ROMANO_BRITISH_DIPLOMAT}				Романо-британский дипломат
{EMT_ROMANO_BRITISH_ADMIRAL}				Романо-британский флот
{EMT_ROMANO_BRITISH_GENERAL}				Романо-британская армия
{EMT_ROMANO_BRITISH_NAMED_CHARACTER}		Романо-британский член семьи

{EMT_SLAVS_SPY}							Славянский шпион
{EMT_SLAVS_ASSASSIN}					Славянский наемный убийца
{EMT_SLAVS_DIPLOMAT}					Славянский дипломат
{EMT_SLAVS_ADMIRAL}						Славянский флот
{EMT_SLAVS_GENERAL}						Славянская армия
{EMT_SLAVS_NAMED_CHARACTER}				Славянский член семьи

{EMT_CELTS_SPY}							Кельтский шпион
{EMT_CELTS_ASSASSIN}					Кельтский наемный убийца
{EMT_CELTS_DIPLOMAT}					Кельтский дипломат
{EMT_CELTS_ADMIRAL}						Кельтский флот
{EMT_CELTS_GENERAL}						Кельтская армия
{EMT_CELTS_NAMED_CHARACTER}				Кельтский член семьи

{EMT_BERBERS_SPY}							Берберский шпион
{EMT_BERBERS_ASSASSIN}						Берберский наемный убийца
{EMT_BERBERS_DIPLOMAT}						Берберский дипломат
{EMT_BERBERS_ADMIRAL}						Берберский флот
{EMT_BERBERS_GENERAL}						Берберская армия
{EMT_BERBERS_NAMED_CHARACTER}					Берберский член семьи

{EMT_MOORS_SPY}							Мавританский шпион
{EMT_MOORS_ASSASSIN}						Мавританский наемный убийца
{EMT_MOORS_DIPLOMAT}						Мавританский дипломат
{EMT_MOORS_ADMIRAL}						Мавританский флот
{EMT_MOORS_GENERAL}						Мавританская армия
{EMT_MOORS_NAMED_CHARACTER}					Мавританский член семьи

{EMT_SLAVE_SPY}						Шпион мятежников
{EMT_SLAVE_ASSASSIN}					Убийца-мятежник
{EMT_SLAVE_DIPLOMAT}					Дипломат мятежников
{EMT_SLAVE_ADMIRAL}					Мятежный флот
{EMT_SLAVE_GENERAL}					Мятежная армия
{EMT_SLAVE_NAMED_CHARACTER}					Мятежный член семьи

{EMT_ROMANS_JULII_VILLAGE}					Римская деревня (Юлии)
{EMT_ROMANS_JULII_TOWN}					Римский город (Юлии)
{EMT_ROMANS_JULII_LARGE_TOWN}					Римский крупный город (Юлии)
{EMT_ROMANS_JULII_CITY}					Римский большой город (Юлии)
{EMT_ROMANS_JULII_LARGE_CITY}					Римский огромный город (Юлии)
{EMT_ROMANS_JULII_HUGE_CITY}					Римский великий город (Юлии)
{EMT_ROMANS_BRUTII_VILLAGE}					Римская деревня (Бруты)
{EMT_ROMANS_BRUTII_TOWN}					Римский город (Бруты)
{EMT_ROMANS_BRUTII_LARGE_TOWN}					Римский крупный город (Бруты)
{EMT_ROMANS_BRUTII_CITY}					Римский большой город (Бруты)
{EMT_ROMANS_BRUTII_LARGE_CITY}					Римский огромный город (Бруты)
{EMT_ROMANS_BRUTII_HUGE_CITY}					Римский великий город (Бруты)
{EMT_ROMANS_SCIPII_VILLAGE}					Римская деревня (Сципионы)
{EMT_ROMANS_SCIPII_TOWN}					Римский город (Сципионы)
{EMT_ROMANS_SCIPII_LARGE_TOWN}					Римский крупный город (Сципионы)
{EMT_ROMANS_SCIPII_CITY}					Римский большой город (Сципионы)
{EMT_ROMANS_SCIPII_LARGE_CITY}					Римский огромный город (Сципионы)
{EMT_ROMANS_SCIPII_HUGE_CITY}					Римский великий город (Сципионы)
{EMT_ROMANS_SENATE_VILLAGE}					Римская деревня (Сенат)
{EMT_ROMANS_SENATE_TOWN}					Римский город (Сенат)
{EMT_ROMANS_SENATE_LARGE_TOWN}					Римский крупный город (Сенат)
{EMT_ROMANS_SENATE_CITY}					Римский большой город (Сенат)
{EMT_ROMANS_SENATE_LARGE_CITY}					Римский огромный город (Сенат)
{EMT_ROMANS_SENATE_HUGE_CITY}					Римский великий город (Сенат)
{EMT_MACEDON_VILLAGE}					Македонская деревня
{EMT_MACEDON_TOWN}					Македонский город
{EMT_MACEDON_LARGE_TOWN}					Македонский крупный город
{EMT_MACEDON_CITY}					Македонский большой город
{EMT_MACEDON_LARGE_CITY}					Македонский огромный город
{EMT_MACEDON_HUGE_CITY}					Македонский великий город
{EMT_EGYPT_VILLAGE}					Египетская деревня
{EMT_EGYPT_TOWN}					Египетский город
{EMT_EGYPT_LARGE_TOWN}					Египетский крупный город
{EMT_EGYPT_CITY}					Египетский большой город
{EMT_EGYPT_LARGE_CITY}					Египетский огромный город
{EMT_EGYPT_HUGE_CITY}					Египетский великий город
{EMT_SELEUCID_VILLAGE}					Селевкидская деревня
{EMT_SELEUCID_TOWN}					Селевкидский город
{EMT_SELEUCID_LARGE_TOWN}					Селевкидский крупный город
{EMT_SELEUCID_CITY}					Селевкидский большой город
{EMT_SELEUCID_LARGE_CITY}					Селевкидский огромный город
{EMT_SELEUCID_HUGE_CITY}					Селевкидский великий город
{EMT_CARTHAGE_VILLAGE}					Карфагенская деревня
{EMT_CARTHAGE_TOWN}					Карфагенский город
{EMT_CARTHAGE_LARGE_TOWN}					Карфагенский крупный город
{EMT_CARTHAGE_CITY}					Карфагенский большой город
{EMT_CARTHAGE_LARGE_CITY}					Карфагенский огромный город
{EMT_CARTHAGE_HUGE_CITY}					Карфагенский великий город
{EMT_PARTHIA_VILLAGE}					Парфянская деревня
{EMT_PARTHIA_TOWN}					Парфянский город
{EMT_PARTHIA_LARGE_TOWN}					Парфянский крупный город
{EMT_PARTHIA_CITY}					Парфянский большой город
{EMT_PARTHIA_LARGE_CITY}					Парфянский огромный город
{EMT_PARTHIA_HUGE_CITY}					Парфянский великий город
{EMT_PONTUS_VILLAGE}					Понтийская деревня
{EMT_PONTUS_TOWN}					Понтийский город
{EMT_PONTUS_LARGE_TOWN}					Понтийский крупный город
{EMT_PONTUS_CITY}					Понтийский большой город
{EMT_PONTUS_LARGE_CITY}					Понтийский огромный город
{EMT_PONTUS_HUGE_CITY}					Понтийский великий город
{EMT_GAULS_VILLAGE}					Галльская деревня
{EMT_GAULS_TOWN}					Галльский город
{EMT_GAULS_LARGE_TOWN}					Галльский крупный город
{EMT_GAULS_CITY}					Галльский большой город
{EMT_GAULS_LARGE_CITY}					Галльский огромный город
{EMT_GAULS_HUGE_CITY}					Галльский великий город
{EMT_GERMANS_VILLAGE}					Германская деревня
{EMT_GERMANS_TOWN}					Германский город
{EMT_GERMANS_LARGE_TOWN}					Германский крупный город
{EMT_GERMANS_CITY}					Германский большой город
{EMT_GERMANS_LARGE_CITY}					Германский огромный город
{EMT_GERMANS_HUGE_CITY}					Германский великий город
{EMT_BRITONS_VILLAGE}					Британская деревня
{EMT_BRITONS_TOWN}					Британский город
{EMT_BRITONS_LARGE_TOWN}					Британский крупный город
{EMT_BRITONS_CITY}					Британский большой город
{EMT_BRITONS_LARGE_CITY}					Британский огромный город
{EMT_BRITONS_HUGE_CITY}					Британский великий город
{EMT_ARMENIA_VILLAGE}					Армянская деревня
{EMT_ARMENIA_TOWN}					Армянский город
{EMT_ARMENIA_LARGE_TOWN}					Армянский крупный город
{EMT_ARMENIA_CITY}					Армянский большой город
{EMT_ARMENIA_LARGE_CITY}					Армянский огромный город
{EMT_ARMENIA_HUGE_CITY}					Армянский великий город
{EMT_DACIA_VILLAGE}					Дакийская деревня
{EMT_DACIA_TOWN}					Дакийский город
{EMT_DACIA_LARGE_TOWN}					Дакийский крупный город
{EMT_DACIA_CITY}					Дакийский большой город
{EMT_DACIA_LARGE_CITY}					Дакийский огромный город
{EMT_DACIA_HUGE_CITY}					Дакийский великий город
{EMT_GREEK_CITIES_VILLAGE}					Греческая деревня
{EMT_GREEK_CITIES_TOWN}					Греческий город
{EMT_GREEK_CITIES_LARGE_TOWN}					Греческий крупный город
{EMT_GREEK_CITIES_CITY}					Греческий большой город
{EMT_GREEK_CITIES_LARGE_CITY}					Греческий огромный город
{EMT_GREEK_CITIES_HUGE_CITY}					Греческий великий город
{EMT_NUMIDIA_VILLAGE}					Нумидийская деревня
{EMT_NUMIDIA_TOWN}					Нумидийский город
{EMT_NUMIDIA_LARGE_TOWN}					Нумидийский крупный город
{EMT_NUMIDIA_CITY}					Нумидийский большой город
{EMT_NUMIDIA_LARGE_CITY}					Нумидийский огромный город
{EMT_NUMIDIA_HUGE_CITY}					Нумидийский великий город
{EMT_SCYTHIA_VILLAGE}					Скифская деревня
{EMT_SCYTHIA_TOWN}					Скифский город
{EMT_SCYTHIA_LARGE_TOWN}					Скифский крупный город
{EMT_SCYTHIA_CITY}					Скифский большой город
{EMT_SCYTHIA_LARGE_CITY}					Скифский огромный город
{EMT_SCYTHIA_HUGE_CITY}					Скифский великий город
{EMT_SPAIN_VILLAGE}					Испанская деревня
{EMT_SPAIN_TOWN}					Испанский город
{EMT_SPAIN_LARGE_TOWN}					Испанский крупный город
{EMT_SPAIN_CITY}					Испанский большой город
{EMT_SPAIN_LARGE_CITY}					Испанский огромный город
{EMT_SPAIN_HUGE_CITY}					Испанский великий город
{EMT_THRACE_VILLAGE}					Фракийская деревня
{EMT_THRACE_TOWN}					Фракийский город
{EMT_THRACE_LARGE_TOWN}					Фракийский крупный город
{EMT_THRACE_CITY}					Фракийский большой город
{EMT_THRACE_LARGE_CITY}					Фракийский огромный город
{EMT_THRACE_HUGE_CITY}					Фракийский великий город
{EMT_SLAVE_VILLAGE}					Мятежная деревня
{EMT_SLAVE_TOWN}					Мятежный город
{EMT_SLAVE_LARGE_TOWN}					Мятежный крупный город
{EMT_SLAVE_CITY}					Мятежный большой город
{EMT_SLAVE_LARGE_CITY}					Мятежный огромный город
{EMT_SLAVE_HUGE_CITY}					Мятежный великий город
{EMT_ALEMANNI_VILLAGE}		Алеманнская деревня
{EMT_ALEMANNI_TOWN}			Алеманнское городище
{EMT_ALEMANNI_LARGE_TOWN}	Алеманнское крупное городище
{EMT_ALEMANNI_CITY}			Алеманнский город
{EMT_ALEMANNI_LARGE_CITY}	Алеманнский большой город
{EMT_ALEMANNI_HUGE_CITY}	Алеманнский великий город
{EMT_EMPIRE_EAST_VILLAGE}		Римская (Восточная Империя) деревня
{EMT_EMPIRE_EAST_TOWN}			Римское (Восточная Империя) городище
{EMT_EMPIRE_EAST_LARGE_TOWN}	Римское (Восточная Империя) крупное городище
{EMT_EMPIRE_EAST_CITY}			Римский (Восточная Империя) город
{EMT_EMPIRE_EAST_LARGE_CITY}	Римский (Восточная Империя) большой город
{EMT_EMPIRE_EAST_HUGE_CITY}		Римский (Восточная Империя) великий город
{EMT_EMPIRE_WEST_VILLAGE}		Римская (Западная Империя) деревня
{EMT_EMPIRE_WEST_TOWN}			Римское (Западная Империя) городище
{EMT_EMPIRE_WEST_LARGE_TOWN}	Римское (Западная Империя) крупное городище
{EMT_EMPIRE_WEST_CITY}			Римский (Западная Империя) город
{EMT_EMPIRE_WEST_LARGE_CITY}	Римский (Западная Империя) большой город
{EMT_EMPIRE_WEST_HUGE_CITY}		Римский (Западная Империя) великий город
{EMT_EMPIRE_EAST_REBELS_VILLAGE}		Римская (мятежники Восточной Империи) деревня
{EMT_EMPIRE_EAST_REBELS_TOWN}			Римское (мятежники Восточной Империи) городище
{EMT_EMPIRE_EAST_REBELS_LARGE_TOWN}		Римское (мятежники Восточной Империи) крупное городище
{EMT_EMPIRE_EAST_REBELS_CITY}			Римский (мятежники Восточной Империи) город
{EMT_EMPIRE_EAST_REBELS_LARGE_CITY}		Римский (мятежники Восточной Империи) большой город
{EMT_EMPIRE_EAST_REBELS_HUGE_CITY}		Римский (мятежники Восточной Империи) великий город
{EMT_EMPIRE_WEST_REBELS_VILLAGE}		Римская (мятежники Западной Империи) деревня
{EMT_EMPIRE_WEST_REBELS_TOWN}			Римское (мятежники Западной Империи) городище
{EMT_EMPIRE_WEST_REBELS_LARGE_TOWN}		Римское (мятежники Западной Империи) крупное городище
{EMT_EMPIRE_WEST_REBELS_CITY}			Римский (мятежники Западной Империи) город
{EMT_EMPIRE_WEST_REBELS_LARGE_CITY}		Римский (мятежники Западной Империи) большой город
{EMT_EMPIRE_WEST_REBELS_HUGE_CITY}		Римский (мятежники Западной Империи) великий город
{EMT_FRANKS_VILLAGE}		Франкская деревня
{EMT_FRANKS_TOWN}			Франкское городище
{EMT_FRANKS_LARGE_TOWN}		Франкское крупное городище
{EMT_FRANKS_CITY}			Франкский город
{EMT_FRANKS_LARGE_CITY}		Франкский большой город
