¬ Text file converted with loc_parser
{SMT_CULTURE_ROMAN}				Римские
{SMT_STATE_NOT_REVOLTING}			В этом поселении не наблюдается никаких признаков волнений
{SMT_STATE_UNDER_SIEGE}			Это поселение находится в осаде
{SMT_STATE_NOT_UNDER_SIEGE}			Это поселение не находится в осаде
{SMT_STATE_HOLDING_GAMES}			В этом поселении проводятся игры
{SMT_STATE_NOT_HOLDING_GAMES}			В этом поселении игры не проводятся
{SMT_STATE_PLAGUE}				Мор  бушует в этом поселении
{SMT_STATE_NOT_PLAGUED}			В этом поселении не наблюдается никаких признаков мора
{SMT_FERTILE_LOW}				Низкая плодородность
{SMT_FERTILE_MEDIUM}				Средняя плодородность
{SMT_FERTILE_HIGH}				Высокая плодородность
{SMT_WILDERNESS}				Дикая местность
{SMT_MOUNTAINS_HIGH}				Высокогорье
{SMT_MOUNTAINS_LOW}				Возвышенность
{SMT_HILLS}					Холмы
{SMT_FOREST_DENSE}				Густой лес
{SMT_FOREST_SPARSE}				Лесистая местность
{SMT_SWAMP}					Болото
{SMT_OCEAN}					Океан
{SMT_SEA_DEEP}					Глубокое море
{SMT_SEA_SHALLOW}				Мелководье
{SMT_BEACH}					Побережье
{SMT_FAMINE_THREAT_OK}				Нет
{SMT_FAMINE_THREAT_HUNGRY}			Голодные
{SMT_FAMINE_THREAT_FAMINE_1}			Голод
{SMT_FAMINE_THREAT_FAMINE_2}			Голод
{SMT_FAMINE_THREAT_FAMINE_3}			Ужасный голод
{SMT_FAMINE_THREAT}				Угроза голода
{SMT_HARVEST_LEVEL}				Уровень урожая
{SMT_FARMING_LEVEL}				Уровень сельского хозяйства
{SMT_TAX_LEVEL_LOW}				Низкие налоги
{SMT_TAX_LEVEL_NORMAL}				Нормальные налоги
{SMT_TAX_LEVEL_HIGH}				Высокие налоги
{SMT_TAX_LEVEL_VERY_HIGH}			Очень высокие налоги
{SMT_GOVERNOR_POLICY_BALANCED}		Сбалансированная стратегия строительства
{SMT_GOVERNOR_POLICY_FINANCIAL}		Финансовая стратегия строительства
{SMT_GOVERNOR_POLICY_MILITARY}			Военная стратегия строительства
{SMT_GOVERNOR_POLICY_STRONGHOLD}		Оборонительная стратегия строительства
{SMT_GOVERNOR_POLICY_CULTURAL}			Культурная стратегия строительства
{SMT_NO_GOVERNOR}				Нет правителя
{SMT_SHOW_GARRISON}				Показать отряды в гарнизоне
{SMT_SHOW_UNITS}				Показать отряды в армии
{SMT_SHOW_UNITS_NAVY}				Показать отряды флота
{SMT_SHOW_BUILDINGS}				Показать строения в поселении
{SMT_SHOW_VISITORS}				Показать персонажей, находящихся в поселении
{SMT_SHOW_TRAVELLING_CHARACTERS}		Показать персонажей, путешествующих с армией
{SMT_SHOW_TRAVELLING_CHARACTERS_NAVY}	Показать персонажей, путешествующих с флотом
{SMT_SHOW_PASSENGERS}				Показать соединения, путешествующие на выделенном корабле
{SMT_RCLICK_SHOW_SETTLEMENTS}			Щелкните правой кнопкой мыши по закладке, чтобы просмотреть список ваших поселений
{SMT_RCLICK_SHOW_CHARACTERS}			Щелкните правой кнопкой мыши по закладке, чтобы просмотреть список ваших персонажей
{SMT_RCLICK_SHOW_ARMIES}			Щелкните правой кнопкой мыши по закладке, чтобы просмотреть список ваших войск
{SMT_LOYALTY_DECREASING}			Лояльность к правителю снижается\nЛюдей нужно подбодрить
{SMT_LOYALTY_INCREASING}			Лояльность крепнет\nПродолжайте в том же духе
{SMT_MISSION_BREAK_ALLIANCE_TITLE}		Разорвать союз
{SMT_MISSION_BREAK_ALLIANCE_PROPOSAL}		Сенат настаивает, чтобы вы разорвали союз с этой фракцией, поскольку они враги Рима
{SMT_MISSION_BREAK_ALLIANCE_EXPIRY}		Сенат отменил задание разорвать союз с этой фракцией, поскольку они больше не враги Рима
{SMT_MISSION_BREAK_ALLIANCE_FAILURE}		Сенат разгневан тем, что вы еще не разорвали союз с этой фракцией
{SMT_MISSION_BREAK_ALLIANCE_SUCCESS}		Сенат отмечает, что вы разорвали союз с этой фракцией
{SMT_MISSION_CAPTURE_REBEL_CITY_TITLE}		Захватить восставшее поселение
{SMT_MISSION_CAPTURE_REBEL_CITY_PROPOSAL}	Сенат не потерпит восстаний, так что захватите это поселение и установите власть Рима
{SMT_MISSION_CAPTURE_REBEL_CITY_EXPIRY}	Это поселение было снова захвачено, так что больше не предпринимайте попыток захватить его
{SMT_MISSION_CAPTURE_REBEL_CITY_FAILURE}	Сенат недоволен тем, что вам не удалось захватить это поселение
{SMT_MISSION_CAPTURE_REBEL_CITY_SUCCESS}	Сенат доволен тем, что вам удалось захватить это поселение
{SMT_MISSION_DESTROY_REBEL_CITY_TITLE}		Уничтожить восставшее поселение
{SMT_MISSION_DESTROY_REBEL_CITY_PROPOSAL}	Избавьте империю от этого восставшего поселения! Уничтожьте его, и пусть это послужит примером для всех подданных Рима
{SMT_MISSION_DESTROY_REBEL_CITY_EXPIRY}	Сенат больше не нуждается в том, чтобы вы разрушали это поселение
{SMT_MISSION_DESTROY_REBEL_CITY_FAILURE}	Сенат недоволен тем, что вам не удалось разрушить это поселение
{SMT_MISSION_DESTROY_REBEL_CITY_SUCCESS}	Сенат доволен тем, что вам удалось разрушить это поселение
{SMT_MISSION_GIVE_BACK_CITY_TITLE}		Возврат поселения
{SMT_MISSION_GIVE_BACK_CITY_PROPOSAL}		Сенат просит вас вернуть это поселение
{SMT_MISSION_GIVE_BACK_CITY_EXPIRY}		Сенат больше не нуждается в том, чтобы вы возвращали это поселение
{SMT_MISSION_GIVE_BACK_CITY_FAILURE}		Сенат отмечает, что вам не удалось вернуть это поселение
{SMT_MISSION_GIVE_BACK_CITY_SUCCESS}		Сенат отмечает, что вы успешно вернули это поселение
{SMT_MISSION_ATTACK_OUTLAW_FACTION_TITLE}	Атаковать объявленную вне закона фракцию
{SMT_MISSION_ATTACK_OUTLAW_FACTION_PROPOSAL}	Эта фракция объявлена вне закона. Сенат просит вас атаковать ее
{SMT_MISSION_ATTACK_OUTLAW_FACTION_EXPIRY}	Сенат больше не нуждается в том, чтобы вы атаковали эту фракцию, поскольку мир восстановлен
{SMT_MISSION_ATTACK_OUTLAW_FACTION_FAILURE}	Сенат отмечает, что вы не атаковали эту фракцию
{SMT_MISSION_ATTACK_OUTLAW_FACTION_SUCCESS}	Сенат доволен тем, что вам удалось атаковать эту фракцию
{SMT_MISSION_CEASE_HOSTILITIES_TITLE}		Прекращение вражды
{SMT_MISSION_CEASE_HOSTILITIES_PROPOSAL}	Сенат просит вас прекратить враждебные действия в отношении этой фракции
{SMT_MISSION_CEASE_HOSTILITIES_EXPIRY}		Сенат больше не нуждается в том, чтобы вы прекращали враждебные действия в отношении этой фракции
{SMT_MISSION_CEASE_HOSTILITIES_FAILURE}		Сенат недоволен тем, что вы продолжаете совершать враждебные действия в отношении этой фракции
{SMT_MISSION_CEASE_HOSTILITIES_SUCCESS}	Сенат доволен тем, что вы прекратили враждебные действия в отношении этой фракции
{SMT_MISSION_DECLARE_WAR_TITLE}		Объявление войны
{SMT_MISSION_DECLARE_WAR_PROPOSAL}		Эта фракция является врагом Рима, и поэтому Сенат требует, чтобы вы объявили ей войну
{SMT_MISSION_DECLARE_WAR_EXPIRY}		Сенат больше не нуждается в том, чтобы вы объявляли войну этой фракции
{SMT_MISSION_DECLARE_WAR_DECLINED}		Сенат возмущен тем, что вы не начали войну с нашим врагом
{SMT_MISSION_DECLARE_WAR_FAILURE}		Сенат возмущен тем, что вы прекратили военные действия
{SMT_MISSION_DECLARE_WAR_SUCCESS}		Сенат благодарен вам за ваш вклад в военные действия против этой фракции
{SMT_MISSION_HELP_PLAYER_TITLE}			Помощь Сенату
{SMT_MISSION_HELP_PLAYER_PROPOSAL}		Сенат восхищен вашей работой на благо империи и с благодарностью просит вас принять это вознаграждение
{SMT_MISSION_ASSASSINATION_TITLE}		Убийство
{SMT_MISSION_ASSASSINATION_PROPOSAL}		Сенат чувствует, что мир без этого человека станет гораздо лучше, так что убейте его
{SMT_MISSION_ASSASSINATION_EXPIRY_NOW_AN_ALLY}	Убийство больше не требуется, поскольку этот человек стал другом Рима
{SMT_MISSION_ASSASSINATION_EXPIRY_OTHER_MEANS}	Убийство больше не требуется, поскольку этот человек умер сам по себе
{SMT_MISSION_ASSASSINATION_EXPIRY_HIDING}	Убийство больше не требуется, поскольку этот человек скрылся и прячется
{SMT_MISSION_ASSASSINATION_EXPIRY_IN_BATTLE}	Задание об убийстве отменяется, поскольку сенату нужно тихое убийство, а не громкая смерть на поле боя
{SMT_MISSION_ASSASSINATION_SUCCESS}		Сенат доволен успешным покушением на этого человека
{SMT_MISSION_ASSASSINATION_FAILURE}		Сенат недоволен тем, что вам не удалось убить этого человека
{SMT_MISSION_TAKE_CITY_TITLE}			Взятие поселения
{SMT_MISSION_TAKE_CITY_PROPOSAL}		Сенат просит вас взять это поселение во славу Империи
{SMT_MISSION_TAKE_CITY_EXPIRY}			Сенат больше не нуждается в том, чтобы вы брали это поселение
{SMT_MISSION_TAKE_CITY_FAILURE}			Сенат недоволен тем, что вам не удалось взять это поселение
{SMT_MISSION_TAKE_CITY_SUCCESS}		Сенат доволен тем, что вам удалось взять это поселение
{SMT_MISSION_RECAPTURE_EAGLE_TITLE}		Возвращение Орла легиона
{SMT_MISSION_RECAPTURE_EAGLE_PROPOSAL}	Сенат надеется, что вы возьмете это поселение и вернете Орла вашего легиона, чтобы очистить запятнанную честь Рима
{SMT_MISSION_RECAPTURE_EAGLE_EXPIRY}		Это поселение было взято, и ваш Орел утрачен
{SMT_MISSION_RECAPTURE_EAGLE_FAILURE}		Сенат крайне недоволен тем, что вам не удалось вернуть Орла вашего легиона
{SMT_MISSION_RECAPTURE_EAGLE_SUCCESS}		Сенат с удовлетворением отмечает, что вы вернули Орла вашего легиона
{SMT_MISSION_SEND_EMISSARY_TITLE}		Эмиссар
{SMT_MISSION_SEND_EMISSARY_PROPOSAL}		Сенат просит вас направить эмиссара в эту фракцию
{SMT_MISSION_SEND_EMISSARY_FAILURE}		Сенат отмечает, что вашим дипломатам не удалось установить контакт с этой фракцией
{SMT_MISSION_SEND_EMISSARY_SUCCESS}		Сенат отмечает, что вашим дипломатам удалось установить контакт с этой фракцией
{SMT_MISSION_DEMAND_SUICIDE_TITLE}		Требование самоубийства
{SMT_MISSION_DEMAND_SUICIDE_PROPOSAL}		Ради блага Империи, Сенат требует, чтобы лидер вашей фракции покончил жизнь самоубийством
{SMT_MISSION_DEMAND_SUICIDE_DECLINED}		Сенат недоволен вашим отказом заставить лидера своей фракции совершить самоубийство
{SMT_MISSION_DEMAND_SUICIDE_SUCCESS}		Сенат удовлетворен самоубийством лидера вашей фракции
{SMT_SENATE_FAILURE}				Если вы потерпите неудачу:
{SMT_SENATE_FINE_AWARDED}			Вы будете наказаны за свои убогие действия.
{SMT_PENALTY_OUTLAW_DESCRIPTION}		Вы будете объявлены вне закона.
{SMT_PENALTY_OUTLAW}				Сенат объявляет войну вашей фракции. Отныне вы вне закона.
{SMT_PENALTY_CENSOR_INVESTIGATES_FAMILY_DESCRIPTION}	Цензор допросит вашу семью
{SMT_PENALTY_CENSOR_INVESTIGATES_FAMILY}		После допроса вашей семьи цензором, член вашей семьи совершил самоубийство. Сенат приносит свои искренние соболезнования в связи с вашей потерей
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_CORRUPTION_DESCRIPTION}	Квестор допросит членов вашей фракции на предмет выявления коррупции
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_CORRUPTION}			После допроса членов вашей фракции квестером на предмет выявления коррупции, на вас наложен штраф в размере %d динариев
{SMT_PENALTY_CENSOR_INVESTIGATES_FACTION_DESCRIPTION}			Цензор допросит членов вашей фракции
{SMT_PENALTY_CENSOR_INVESTIGATES_FACTION}					После допроса членов вашей фракции цензором, %S совершает самоубийство
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_FINANCIAL_IRREGULARITIES_DESCRIPTION}	Квестор допросит членов вашей фракции по поводу финансовых нарушений
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_FINANCIAL_IRREGULARITIES}		После допроса членов вашей фракции квестором по поводу финансовых нарушений, на вас наложен штраф в размере %d динариев
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_ACCOUNTING_IRREGULARITIES_DESCRIPTION}		Квестор допросит членов вашей фракции по поводу бухгалтерских нарушений
{SMT_PENALTY_QUAESTOR_INVESTIGATES_FOR_ACCOUNTING_IRREGULARITIES}			После допроса членов вашей фракции квестором по поводу бухгалтерских нарушений, на вас наложен штраф в размере %d динариев
{SMT_PENALTY_SENATE_DISPLEASURE_DESCRIPTION}			Вы навлечете на себя недовольство Сената
{SMT_PENALTY_SECRET_INFORMATION_EXPOSURE_DESCRIPTION}		Ваша тайна будет раскрыта
{SMT_PENALTY_SECRET_INFORMATION_EXPOSURE}			Ваша тайна раскрыта
{SMT_PENALTY_OFFICES_WITHELD_DESCRIPTION}			Члены вашей фракции четыре года не будут избираться на сенатские должности
{SMT_PENALTY_OFFICES_WITHELD}					Вряд ли в ближайшее время Сенат будет привлекать членов вашей фракции к работе
{SMT_SENATE_SUCCESS}						Если вы преуспеете:
{SMT_SENATE_BOUNTY_AWARDED}					Вы получите денежное вознаграждение за свои усилия.
{SMT_REWARD_MAJOR_EXOTIC_UNIT_DESCRIPTION}			Вы получите в награду старшее иностранное соединение
{SMT_REWARD_TWO_MINOR_EXOTIC_UNITS_DESCRIPTION}		Вы получите в награду два младших иностранных соединения
{SMT_REWARD_TWO_BEST_BUILDABLE_UNITS_DESCRIPTION}		Вы получите в награду два лучших соединения из доступных вам
{SMT_REWARD_ONE_BEST_BUILDABLE_UNIT_DESCRIPTION}		Вы получите в награду одно из ваших лучших соединений из доступных вам
{SMT_REWARD_ONE_MINOR_EXOTIC_UNIT_DESCRIPTION}		Вы получите в награду одно младшее иностранное соединение
{SMT_REWARD_ONE_BUILDABLE_UNIT_DESCRIPTION}			Вы получите в награду одно из ваших соединений из доступных вам
{SMT_REWARD_CANNOT_BUILD_A_UNIT}				Вы не можете получить награду, поскольку не можете строить соединения
{SMT_REWARD_UNIT_AT_YOUR_CAPITAL}				Призовое соединение находится в вашей столице:\n
{SMT_REWARD_SENATE_GRATITUDE_DESCRIPTION}			Вы заслужите благодарность Сената
{SMT_REWARD_SENATE_GRATITUDE}					Сенат видит ваши труды на благо Рима и очень благодарен вам
{SMT_REWARD_THROW_GAMES_DESCRIPTION}				За счет Сената в вашей столице будут проведены игры
{SMT_REWARD_MAJOR_REWARD_DESCRIPTION}			Вы будете хорошо вознаграждены
{SMT_REWARD_MODERATE_REWARD_DESCRIPTION}			Вы будете щедро вознаграждены
{SMT_REWARD_MINOR_REWARD_DESCRIPTION}				Вы будете вознаграждены
{SMT_REWARD_MONEY}						Вы получите в подарок %d динариев
{SMT_REWARD_PROMISE_OF_APPOINTMENT_DESCRIPTION}		У вас будет приоритет при назначении магистратов
{SMT_REWARD_PROMISE_OF_APPOINTMENT}				Сенат обратит особое внимание на вашу фракцию при назначении магистратов
{SMT_SENATE_ATTITUDE}						Сенат хорошо расположен к вам
{SMT_SENATE_OFFICE_QUAESTOR_TITLE}				Квестор
{SMT_SENATE_OFFICE_QUAESTOR_DESCRIPTION}			Младший чиновник
{SMT_SENATE_OFFICE_AEDILE_TITLE}				Эдил
{SMT_SENATE_OFFICE_AEDILE_DESCRIPTION}				Ответственный за проведение игр
{SMT_SENATE_OFFICE_PRAETOR_TITLE}				Претор
{SMT_SENATE_OFFICE_PRAETOR_DESCRIPTION}			Командующий преторианской стражей
{SMT_SENATE_OFFICE_CONSUL_TITLE}				Консул
{SMT_SENATE_OFFICE_CONSUL_DESCRIPTION}				Высокопоставленный политик Сената
{SMT_SENATE_OFFICE_CENSOR_TITLE}				Цензор
{SMT_SENATE_OFFICE_CENSOR_DESCRIPTION}				Хранитель общественной нравственности
{SMT_SENATE_OFFICE_PONTIFEX_MAXIMUS_TITLE}			Верховный Понтифик
{SMT_SENATE_OFFICE_PONTIFEX_MAXIMUS_DESCRIPTION}		Высший религиозный лидер
{SMT_REMOVE_RALLY_POINT}					Убрать пункт сбора для этого поселения\nВновь набранные соединения будут оставаться в гарнизоне
{SMT_SET_RALLY_POINT}						Показать пункты сбора
{SMT_1_TURN}							1 ход
{SMT_X_TURNS}							%d ходов
{SMT_SELECT_UNIT_TO_RECRUIT}					Выделить соединение для найма
{SMT_SELECT_UNIT_TO_RETRAIN}					Выделить соединение для переобучения
{SMT_SET_TO_RECRUIT_MODE}					Показать доступные для найма соединения
{SMT_SET_TO_RETRAIN_MODE}					Показать соединения в гарнизоне, которые нужно переобучить и заново снарядить
{SMT_MERGE_SELECTED_UNITS}					Перенести выделенные объекты с левой панели на правую панель
{SMT_X_PERCENT_COMPLETE}					%d процентов завершено
{SMT_DIPLOMACY_OFFER_ALLIANCE}					Союз
{SMT_DIPLOMACY_OFFER_CANCEL_ALLIANCE}				Отменить союз
{SMT_DIPLOMACY_OFFER_CEASEFIRE}				Прекращение огня
{SMT_DIPLOMACY_OFFER_MILITARY_ACCESS}				Право прохода армии
{SMT_DIPLOMACY_OFFER_CANCEL_MILITARY_ACCESS}			Отмена права прохода армии
{SMT_DIPLOMACY_OFFER_TRADE_RIGHTS}				Торговые привилегии
{SMT_DIPLOMACY_OFFER_CANCEL_TRADE_RIGHTS}			Отмена торговых привилегий
{SMT_DIPLOMACY_OFFER_ATTACK_FACTION}				Атаковать фракцию
{SMT_DIPLOMACY_OFFER_CEDE_REGION}				Отдать регион
{SMT_DIPLOMACY_OFFER_SINGLE_PAYMENT}				Сделать одиночную выплату
{SMT_DIPLOMACY_OFFER_YEARLY_PAYMENT}				Постоянная дань
{SMT_DIPLOMACY_OFFER_CANCEL_YEARLY_PAYMENT}			Отмена постоянной дани
{SMT_DIPLOMACY_OFFER_THREAT_OF_ATTACK}			Угрожать атакой
{SMT_DIPLOMACY_OFFER_DEMAND_NO_ATTACK}			Не для атаки
{SMT_DIPLOMACY_OFFER_MAP_INFORMATION}				Информация по карте
{SMT_DIPLOMACY_OFFER_BRIBE}					Подкуп
{SMT_DIPLOMACY_OFFER_PROTECTORATE}				Стать протекторатом
{SMT_MAKE_OFFER}						Сделать предложение
{SMT_MAKE_DEMAND}						Потребовать
{SMT_YOUR_DEMANDS}						Ваши требования
{SMT_YOUR_OFFERS}						Ваши предложения
{SMT_THEIR_OFFERS}						Их предложения
{SMT_THEIR_DEMANDS}						Их требования
{SMT_GIVE_X_DENARI}						Дайте нам %d динариев
{SMT_WE_WILL_GIVE_X_DENARI}					Мы отдадим %d динариев
{SMT_GIVE_YEARLY_TRIBUTE_OF_X_DENARI}				Платить дань в размере %d динариев за ход
{SMT_OFFER_YEARLY_TRIBUTE_OF_X_DENARI}				Мы будем платить дань по %d динариев за ход
{SMT_CANCEL_YEARLY_TRIBUTE_OF_X_DENARI}			Отменить дань в размере %d динариев
{SMT_DIP_ACCEPT_OFFER}						Принять текущее предложение
{SMT_DIP_DECLINE_OFFER}						Отклонить текущее предложение
{SMT_DIP_COUNTER_OFFER}					Сделать контрпредложение
{SMT_DIP_NEW_OFFER}						Сделать новое предложение
{SMT_DIP_INIT_OFFER}						Сделать предложение\nНе выдвигать предложений и требований, чтобы выяснить, что возьмет или предложит противная сторона
{SMT_DIP_MAKE_GIFT}						Предложить предметы в подарок\nТолько определенные предметы можно предлагать в подарок
{SMT_DIP_INFORM}						Сообщить противникам об отмене всех ранее достигнутых соглашений
{SMT_TRIBUTE_PAYED}						Дань выплачена:
{SMT_TRIBUTE_RECIEVED}						Дань получена:
{SMT_MILITARY_ACCESS_RECEIVED}					Получено право прохода армии
{SMT_MILITARY_ACCESS_GIVEN}					Предоставлено право прохода армии
{SMT_TRADE_RIGHTS_GRANTED}					Дарованы торговые привилегии
{SMT_ABILITIES_AT_A_GLANCE}					Обзор качеств
{SMT_DESCRIPTION}						Описание
{SMT_UPGRADES}							Совершенствования
{SMT_X_MEN}							%d людей
{SMT_YOUR_ARMY_HAS_X_BUILD_POINTS}				У вашей армии %d пунктов строительства
{SMT_SELECT_SIEGE_EQUIPMENT}					Выберите снаряжение для строительства
{SMT_BUILT}							Построен
{SMT_ZOOM_TO_SETTLEMENT}					Определить место поселения
{SMT_ZOOM_TO_UNIT}						Определить место армии, к которой относится отряд
{SMT_ZOOM_TO_CHARACTER}					Определить место персонажа
{SMT_OPEN_CONSTRUCTION_WINDOW}				Открыть окно строительства для выделенных поселений
{SMT_NOTHING_TO_CONSTRUCT}					В выделенном поселении невозможно ничего построить
{SMT_OPEN_TRAINING_WINDOW}					Открыть список обучения соединений для выделенного поселения
{SMT_NOTHING_TO_TRAIN}						В выделенном поселении невозможно нанять ни одно соединение
{SMT_CURRENTLY_TRAINING}					В настоящее время обучается
{SMT_OPEN_OPTIONS_WINDOW}					Установить настройки игры
{SMT_OPEN_SENATE_WINDOW}					Открыть экран информации о Сенате
{SMT_OPEN_FINANCE_WINDOW}					Открыть окно финансов
